"train_method (WP, NP or backprop)",d (n_ch),n_class,seed,Max Accuracy,num. of iterations to 20% testing accuracy,num. of iterations to 20% training accuracy,num. of iterations to 40% testing accuracy,num. of iterations to 40% training accuracy,num. of iterations to 60% testing accuracy,num. of iterations to 60% training accuracy,num. of iterations to 80% testing accuracy,num. of iterations to 80% training accuracy
node,4,10,7,0.9034,5200,5400,16300,16200,26700,25500,276200,248700
backprop,4,10,7,0.9132,492,521,2200,2200,4000,3900,34400,29500
weight,4,10,8,0.8983,20500,20300,44400,44100,90900,88100,635700,567100
node,4,10,8,0.9007,6600,6700,15800,15900,37400,37600,254600,217300
backprop,4,10,8,0.9047,763,776,1700,1700,4000,4000,28900,26700
weight,4,10,9,0.8941,5900,5600,41300,40600,86900,86800,599600,553600
node,4,10,9,0.9025,2800,2700,11600,11700,32900,34300,237900,216200
backprop,4,10,9,0.9076,272,223,1400,1300,3900,3900,27700,25800
weight,4,10,10,0.8976,6800,6700,31600,30900,112200,103100,741100,662800
node,4,10,10,0.9032,2900,2900,15100,15000,42200,40900,285200,239400
backprop,4,10,10,0.9104,271,271,1700,1700,4700,4200,31700,27500
weight,8,10,1,0.9088,6500,6400,31400,31300,61500,61100,637400,591300
node,8,10,1,0.9153,2900,2900,8100,8200,15600,15600,205000,183400
backprop,8,10,1,0.9149,140,139,407,405,1400,1300,17000,15000
weight,8,10,2,0.9055,2400,2300,31600,31700,59500,58800,831100,696700
node,8,10,2,0.9176,1100,849,9800,9900,19600,20200,259600,223900
backprop,8,10,2,0.9211,38,34,781,782,1500,1500,20900,18000
weight,8,10,3,0.9069,2500,2500,29800,30300,70200,69900,664800,588700
node,8,10,3,0.9138,1300,1200,12100,12000,22600,22600,178000,150200
backprop,8,10,3,0.9157,62,62,719,726,1800,1800,15100,13200
weight,8,10,4,0.9029,6100,6200,26100,25400,66500,65200,870000,753200
node,8,10,4,0.9159,1900,2100,5900,5700,18800,18400,254400,228100
backprop,8,10,4,0.9183,159,165,504,501,1500,1600,24000,20300
weight,8,10,5,0.9047,16400,16200,40100,40200,90200,90800,678000,606400
node,8,10,5,0.9175,6600,6300,17500,17200,28700,28500,202600,167700
backprop,8,10,5,0.9151,485,475,1500,1500,2500,2500,16700,14500
weight,8,10,6,0.905,9300,9200,22600,22600,95800,92300,714900,668300
node,8,10,6,0.9134,3700,3700,8000,8000,27100,25400,209500,194800
backprop,8,10,6,0.9152,255,255,599,581,1900,1800,17500,16300
weight,8,10,7,0.9051,11700,11400,44100,43400,85300,85900,721900,637400
node,8,10,7,0.9179,3200,3200,12700,12400,23800,23700,211000,182300
backprop,8,10,7,0.9171,248,248,1100,994,1900,2000,16100,14300
weight,8,10,8,0.9074,13300,13200,25300,25000,87100,86200,791800,689000
node,8,10,8,0.913,3600,3600,7300,7300,25900,24900,219500,190800
backprop,8,10,8,0.9197,210,210,498,490,2100,2000,18600,16900
weight,8,10,9,0.9047,3200,3200,19800,18900,87100,84200,794000,715200
node,8,10,9,0.9152,1700,1700,3800,3600,21700,21000,243700,219200
backprop,8,10,9,0.9135,102,98,209,199,2300,2200,19600,18200
weight,8,10,10,0.9061,3700,3700,12400,12300,82800,81100,798600,695300
node,8,10,10,0.9153,1700,1700,4700,4700,24300,24000,209300,178700
backprop,8,10,10,0.9162,86,83,317,316,2000,1900,18500,15800
weight,16,10,1,0.9097,12500,11600,25500,25800,69900,68700,757300,675800
node,16,10,1,0.9161,2100,2100,7500,7200,14900,14800,197400,158300
backprop,16,10,1,0.921,92,91,295,291,824,817,10800,9300
weight,16,10,2,0.9074,10000,9800,24100,24100,66800,65000,838100,732500
node,16,10,2,0.9179,2100,2100,4800,4800,14600,14500,198300,181600
backprop,16,10,2,0.9208,135,133,235,238,740,739,11600,10200
weight,16,10,3,0.9044,15900,16000,33100,33100,73900,74200,794800,668300
node,16,10,3,0.916,3900,4000,7400,7400,21500,21500,184700,159900
backprop,16,10,3,0.9181,152,154,337,337,1100,1100,10300,8600
weight,16,10,4,0.9055,22100,22100,34400,34200,55800,55800,715100,618300
node,16,10,4,0.9186,5300,5400,8200,8200,14400,13800,179500,151000
backprop,16,10,4,0.9195,246,245,387,376,627,624,9600,8300
weight,16,10,5,0.9042,7300,7300,23500,22600,62000,62800,873500,751500
node,16,10,5,0.9187,2800,2700,7300,7300,18800,18600,202200,173100
backprop,16,10,5,0.9188,112,108,365,350,916,901,11000,9700
weight,16,10,6,0.9059,7600,7600,22900,23400,65500,63000,745500,651700
node,16,10,6,0.9199,1600,1600,3500,3500,13300,13300,205400,185600
backprop,16,10,6,0.9161,59,59,174,177,788,774,10200,8700
