iteration,C_train,C_test,train_error,test_error
1.0,2.5239,2.3166,0.9188,0.9168
2.0,2.5232,2.3159,0.9138,0.9119
3.0,2.5225,2.3152,0.9076,0.9057
4.0,2.5219,2.3146,0.9055,0.9035
5.0,2.5213,2.314,0.9054,0.9038
6.0,2.5207,2.3135,0.9004,0.8992
7.0,2.5201,2.3129,0.9002,0.8978
8.0,2.5196,2.3123,0.8994,0.8979
9.0,2.5188,2.3116,0.8978,0.896
10.0,2.5182,2.3109,0.8908,0.8894
11.0,2.5176,2.3104,0.8899,0.8885
12.0,2.5169,2.3097,0.8839,0.8824
13.0,2.5163,2.309,0.8806,0.8792
14.0,2.5156,2.3083,0.8786,0.8788
15.0,2.515,2.3078,0.8768,0.8763
16.0,2.5144,2.3071,0.8722,0.8737
17.0,2.5138,2.3066,0.8728,0.8732
18.0,2.5133,2.3061,0.8751,0.8747
19.0,2.5127,2.3055,0.8671,0.8692
20.0,2.5121,2.3049,0.8637,0.8654
21.0,2.5115,2.3043,0.8634,0.8646
22.0,2.5108,2.3036,0.8614,0.8634
23.0,2.5103,2.303,0.8604,0.8615
24.0,2.5097,2.3025,0.8587,0.8598
25.0,2.5091,2.3019,0.8576,0.8592
26.0,2.5085,2.3013,0.8567,0.8577
27.0,2.508,2.3007,0.855,0.8558
28.0,2.5074,2.3002,0.8547,0.855
29.0,2.507,2.2997,0.8535,0.8537
30.0,2.5064,2.2991,0.8526,0.853
31.0,2.5058,2.2986,0.8518,0.8521
32.0,2.5053,2.2981,0.8497,0.8508
33.0,2.5048,2.2976,0.8488,0.8488
34.0,2.5042,2.297,0.847,0.8481
35.0,2.5036,2.2964,0.8472,0.8471
36.0,2.503,2.2958,0.8458,0.8453
37.0,2.5024,2.2951,0.846,0.8456
38.0,2.5018,2.2946,0.8457,0.8459
39.0,2.5013,2.2941,0.8458,0.8455
40.0,2.5007,2.2935,0.8442,0.8441
41.0,2.5001,2.2929,0.8434,0.8434
42.0,2.4995,2.2923,0.8426,0.8432
43.0,2.499,2.2918,0.8403,0.8404
44.0,2.4985,2.2913,0.8394,0.8398
45.0,2.4979,2.2907,0.8403,0.8412
46.0,2.4973,2.2901,0.8399,0.8399
47.0,2.4968,2.2896,0.8403,0.8426
48.0,2.4963,2.2891,0.8393,0.8407
49.0,2.4958,2.2886,0.8407,0.843
50.0,2.4953,2.2881,0.8424,0.8439
51.0,2.4947,2.2875,0.8424,0.8436
52.0,2.4942,2.287,0.8402,0.8412
53.0,2.4938,2.2866,0.842,0.8445
54.0,2.4932,2.286,0.8412,0.8432
55.0,2.4928,2.2856,0.8441,0.8463
56.0,2.4922,2.285,0.8405,0.8433
57.0,2.4916,2.2844,0.8384,0.8397
58.0,2.491,2.2838,0.8389,0.841
59.0,2.4904,2.2833,0.8358,0.8374
60.0,2.4899,2.2827,0.8361,0.8379
61.0,2.4894,2.2822,0.836,0.8383
62.0,2.4888,2.2817,0.8335,0.8338
63.0,2.4883,2.2811,0.8338,0.835
64.0,2.4878,2.2806,0.8339,0.8352
65.0,2.4873,2.2802,0.8337,0.8351
66.0,2.4867,2.2795,0.8348,0.8368
67.0,2.4863,2.2791,0.8364,0.8375
68.0,2.4858,2.2786,0.8344,0.8361
69.0,2.4853,2.2781,0.832,0.8339
70.0,2.4847,2.2776,0.8326,0.8342
71.0,2.4842,2.2771,0.8323,0.8337
72.0,2.4838,2.2766,0.832,0.8343
73.0,2.4832,2.2761,0.8334,0.8349
74.0,2.4827,2.2756,0.8316,0.8324
75.0,2.4822,2.2751,0.8312,0.8326
76.0,2.4818,2.2746,0.83,0.8303
77.0,2.4813,2.2741,0.8298,0.8313
78.0,2.4808,2.2737,0.8281,0.8306
79.0,2.4803,2.2731,0.8268,0.8288
80.0,2.4797,2.2726,0.8266,0.8286
81.0,2.4792,2.2721,0.8264,0.8265
82.0,2.4788,2.2716,0.8232,0.8247
83.0,2.4783,2.2711,0.8237,0.8247
84.0,2.4778,2.2706,0.8234,0.8237
85.0,2.4773,2.2701,0.8243,0.8249
86.0,2.4767,2.2696,0.8192,0.8207
87.0,2.4762,2.269,0.8135,0.8153
88.0,2.4757,2.2685,0.8136,0.8148
89.0,2.4751,2.268,0.8132,0.8139
90.0,2.4746,2.2674,0.8134,0.814
91.0,2.4742,2.267,0.815,0.8159
92.0,2.4737,2.2665,0.8196,0.8204
93.0,2.4731,2.2659,0.8201,0.8225
94.0,2.4726,2.2655,0.8189,0.82
95.0,2.4721,2.2649,0.8196,0.8215
96.0,2.4716,2.2644,0.8201,0.8221
97.0,2.4711,2.2639,0.8167,0.8177
98.0,2.4706,2.2634,0.8165,0.8175
99.0,2.4701,2.2629,0.8183,0.8194
100.0,2.4696,2.2624,0.816,0.8175
101.0,2.4691,2.2619,0.8162,0.8174
102.0,2.4686,2.2614,0.8157,0.8174
103.0,2.4681,2.2609,0.8195,0.82
104.0,2.4677,2.2605,0.8164,0.8183
105.0,2.4672,2.2599,0.8155,0.8176
106.0,2.4667,2.2594,0.814,0.8161
107.0,2.4662,2.259,0.8161,0.8187
108.0,2.4657,2.2585,0.8151,0.818
109.0,2.4653,2.258,0.8133,0.8139
110.0,2.4648,2.2575,0.8131,0.8137
111.0,2.4643,2.2571,0.8096,0.8107
112.0,2.4638,2.2566,0.8118,0.8131
113.0,2.4633,2.2561,0.8098,0.8113
114.0,2.4628,2.2556,0.8044,0.8059
115.0,2.4623,2.255,0.8038,0.8052
116.0,2.4618,2.2545,0.8002,0.8016
117.0,2.4613,2.254,0.8017,0.8028
118.0,2.4607,2.2535,0.7978,0.7989
119.0,2.4602,2.2529,0.7956,0.7966
120.0,2.4597,2.2524,0.7903,0.7919
121.0,2.4592,2.2519,0.7849,0.7875
122.0,2.4587,2.2514,0.7827,0.7849
123.0,2.4582,2.251,0.7819,0.7845
124.0,2.4577,2.2505,0.7767,0.7791
125.0,2.4572,2.2499,0.7764,0.7789
126.0,2.4567,2.2494,0.7736,0.7759
127.0,2.4562,2.2489,0.7692,0.772
128.0,2.4557,2.2484,0.7665,0.77
129.0,2.4552,2.2479,0.7693,0.7723
130.0,2.4547,2.2474,0.767,0.7713
131.0,2.4542,2.2469,0.7719,0.7758
132.0,2.4536,2.2464,0.7721,0.7745
133.0,2.4531,2.2458,0.7648,0.7686
134.0,2.4526,2.2454,0.7627,0.7651
135.0,2.4521,2.2448,0.7631,0.7672
136.0,2.4516,2.2443,0.7576,0.7611
137.0,2.4511,2.2438,0.7521,0.7541
138.0,2.4506,2.2433,0.7521,0.7533
139.0,2.4501,2.2428,0.7518,0.7522
140.0,2.4495,2.2423,0.754,0.7545
141.0,2.4491,2.2418,0.7592,0.7617
142.0,2.4486,2.2413,0.7521,0.7546
143.0,2.4481,2.2408,0.7449,0.7465
144.0,2.4475,2.2402,0.7424,0.745
145.0,2.447,2.2397,0.7443,0.7477
146.0,2.4465,2.2392,0.742,0.7454
147.0,2.446,2.2387,0.7374,0.7404
148.0,2.4454,2.2382,0.7338,0.7364
149.0,2.445,2.2377,0.7359,0.7388
150.0,2.4445,2.2373,0.7349,0.7367
151.0,2.4441,2.2368,0.7279,0.7287
152.0,2.4436,2.2363,0.7287,0.7294
153.0,2.443,2.2358,0.7283,0.7291
154.0,2.4425,2.2352,0.7315,0.7341
155.0,2.442,2.2347,0.7308,0.7327
156.0,2.4415,2.2343,0.722,0.7238
157.0,2.441,2.2337,0.724,0.7241
158.0,2.4405,2.2332,0.7245,0.7252
159.0,2.4399,2.2326,0.7246,0.725
160.0,2.4394,2.2321,0.7301,0.7316
161.0,2.4388,2.2315,0.727,0.7297
162.0,2.4383,2.231,0.7296,0.7331
163.0,2.4379,2.2305,0.7233,0.7263
164.0,2.4373,2.23,0.7231,0.7254
165.0,2.4367,2.2294,0.7236,0.7252
166.0,2.4362,2.2289,0.7232,0.7244
167.0,2.4357,2.2284,0.7127,0.7137
168.0,2.4352,2.2278,0.7096,0.7117
169.0,2.4346,2.2273,0.7138,0.7143
170.0,2.4341,2.2268,0.7147,0.7163
171.0,2.4335,2.2262,0.7139,0.715
172.0,2.433,2.2256,0.7131,0.7146
173.0,2.4324,2.2251,0.7206,0.7238
174.0,2.4319,2.2245,0.7155,0.7173
175.0,2.4313,2.224,0.7154,0.7166
176.0,2.4308,2.2235,0.7103,0.7108
177.0,2.4303,2.223,0.7145,0.7168
178.0,2.4298,2.2225,0.7123,0.714
179.0,2.4292,2.2219,0.718,0.7198
180.0,2.4287,2.2213,0.7156,0.7166
181.0,2.4281,2.2208,0.7161,0.7177
182.0,2.4276,2.2203,0.711,0.7127
183.0,2.4271,2.2198,0.7101,0.7126
184.0,2.4265,2.2192,0.7189,0.7198
185.0,2.426,2.2187,0.7189,0.7195
186.0,2.4255,2.2181,0.7189,0.7199
187.0,2.425,2.2176,0.7311,0.7276
188.0,2.4244,2.2171,0.7268,0.7242
189.0,2.4239,2.2165,0.7292,0.7262
190.0,2.4233,2.216,0.7294,0.7266
191.0,2.4228,2.2154,0.7292,0.725
192.0,2.4222,2.2148,0.7225,0.719
193.0,2.4216,2.2143,0.7193,0.7166
194.0,2.4211,2.2137,0.715,0.7139
195.0,2.4206,2.2133,0.7151,0.7135
196.0,2.42,2.2126,0.7067,0.7066
197.0,2.4195,2.2121,0.7004,0.7011
198.0,2.4189,2.2115,0.6944,0.6983
199.0,2.4184,2.211,0.6965,0.7003
200.0,2.4178,2.2104,0.6959,0.6981
201.0,2.4173,2.2099,0.6885,0.6956
202.0,2.4167,2.2093,0.6821,0.6872
203.0,2.4161,2.2087,0.6815,0.6854
204.0,2.4155,2.2082,0.679,0.6849
205.0,2.415,2.2076,0.6818,0.685
206.0,2.4144,2.207,0.6811,0.6835
207.0,2.4138,2.2064,0.6768,0.6814
208.0,2.4133,2.2059,0.6707,0.6751
209.0,2.4128,2.2054,0.6681,0.6734
210.0,2.4122,2.2048,0.662,0.6667
211.0,2.4116,2.2042,0.6555,0.6619
212.0,2.411,2.2036,0.6529,0.6594
213.0,2.4105,2.2031,0.6513,0.6586
214.0,2.4099,2.2025,0.6529,0.6602
215.0,2.4092,2.2018,0.6521,0.6567
216.0,2.4087,2.2013,0.6491,0.6548
217.0,2.4081,2.2007,0.6501,0.6562
218.0,2.4075,2.2001,0.6534,0.6581
219.0,2.4068,2.1994,0.6538,0.6572
220.0,2.4063,2.1989,0.6603,0.6603
221.0,2.4057,2.1983,0.6569,0.6581
222.0,2.4052,2.1977,0.6625,0.6635
223.0,2.4046,2.1972,0.6629,0.6645
224.0,2.404,2.1966,0.6597,0.6605
225.0,2.4034,2.196,0.6561,0.6588
226.0,2.4028,2.1954,0.6592,0.6595
227.0,2.4023,2.1948,0.6566,0.6573
228.0,2.4017,2.1942,0.6557,0.6572
229.0,2.4011,2.1936,0.6509,0.6522
230.0,2.4005,2.193,0.6516,0.6529
231.0,2.3999,2.1924,0.6525,0.6538
232.0,2.3992,2.1918,0.6502,0.6518
233.0,2.3987,2.1912,0.6489,0.6503
234.0,2.3981,2.1906,0.6512,0.6537
235.0,2.3975,2.1901,0.6509,0.6536
236.0,2.397,2.1895,0.6511,0.6542
237.0,2.3963,2.1889,0.6419,0.6446
238.0,2.3958,2.1884,0.6424,0.6444
239.0,2.3952,2.1878,0.6411,0.6431
240.0,2.3947,2.1872,0.6447,0.6461
241.0,2.394,2.1866,0.6407,0.6428
242.0,2.3934,2.186,0.6346,0.6366
243.0,2.3928,2.1853,0.6402,0.6421
244.0,2.3923,2.1848,0.6399,0.6421
245.0,2.3917,2.1842,0.6392,0.6428
246.0,2.391,2.1836,0.6365,0.64
247.0,2.3904,2.1829,0.6351,0.6368
248.0,2.3898,2.1823,0.6385,0.6393
249.0,2.3892,2.1817,0.6305,0.6314
250.0,2.3885,2.181,0.6289,0.6308
251.0,2.3879,2.1804,0.6292,0.6306
252.0,2.3873,2.1798,0.6325,0.6341
253.0,2.3867,2.1792,0.634,0.636
254.0,2.3861,2.1786,0.6299,0.6323
255.0,2.3855,2.178,0.6276,0.6312
256.0,2.3849,2.1774,0.6257,0.6306
257.0,2.3843,2.1768,0.6194,0.626
258.0,2.3836,2.1761,0.6212,0.6255
259.0,2.383,2.1755,0.6182,0.6244
260.0,2.3824,2.1749,0.6205,0.6252
261.0,2.3817,2.1742,0.6264,0.6292
262.0,2.3811,2.1736,0.6211,0.6247
263.0,2.3805,2.1729,0.623,0.6261
264.0,2.3798,2.1723,0.6244,0.6264
265.0,2.3791,2.1716,0.624,0.6269
266.0,2.3784,2.1709,0.6242,0.6276
267.0,2.3778,2.1702,0.6242,0.6274
268.0,2.3772,2.1697,0.6229,0.6263
269.0,2.3765,2.1689,0.6189,0.6212
270.0,2.3758,2.1682,0.6123,0.6176
271.0,2.3751,2.1675,0.6143,0.6183
272.0,2.3744,2.1669,0.6144,0.6169
273.0,2.3738,2.1662,0.6153,0.6177
274.0,2.3731,2.1656,0.609,0.612
275.0,2.3725,2.1649,0.6096,0.6133
276.0,2.3719,2.1643,0.6098,0.6138
277.0,2.3713,2.1637,0.6049,0.61
278.0,2.3706,2.163,0.6031,0.6079
279.0,2.3699,2.1623,0.6009,0.6067
280.0,2.3692,2.1616,0.5962,0.6035
281.0,2.3685,2.1609,0.5946,0.6018
282.0,2.3677,2.1601,0.591,0.5985
283.0,2.3669,2.1594,0.5827,0.5914
284.0,2.3663,2.1587,0.5813,0.5902
285.0,2.3657,2.1581,0.5804,0.5901
