iteration,C_train,C_test,train_error,test_error
1.0,2.5089,2.3013,0.8948,0.8942
2.0,2.5082,2.3007,0.8943,0.8939
3.0,2.5074,2.2999,0.8934,0.8931
4.0,2.5068,2.2993,0.8941,0.8936
5.0,2.5063,2.2988,0.8933,0.8931
6.0,2.5056,2.298,0.8921,0.8923
7.0,2.5049,2.2974,0.8914,0.8917
8.0,2.5044,2.2968,0.8918,0.8917
9.0,2.5038,2.2963,0.8929,0.8925
10.0,2.503,2.2955,0.8919,0.8918
11.0,2.5024,2.2949,0.8917,0.8916
12.0,2.5016,2.2941,0.8898,0.89
13.0,2.5007,2.2932,0.889,0.8895
14.0,2.5001,2.2926,0.8869,0.8867
15.0,2.4995,2.292,0.8871,0.8868
16.0,2.499,2.2916,0.8863,0.8859
17.0,2.4985,2.291,0.8855,0.8851
18.0,2.498,2.2905,0.8835,0.883
19.0,2.4973,2.2898,0.8811,0.8805
20.0,2.4967,2.2892,0.8793,0.8792
21.0,2.4961,2.2886,0.8786,0.878
22.0,2.4955,2.288,0.8776,0.8767
23.0,2.495,2.2875,0.8745,0.8744
24.0,2.4943,2.2869,0.8721,0.8709
25.0,2.4938,2.2863,0.8709,0.8697
26.0,2.4931,2.2857,0.8713,0.8699
27.0,2.4925,2.2851,0.8697,0.8677
28.0,2.4917,2.2843,0.8666,0.8649
29.0,2.4912,2.2838,0.8672,0.865
30.0,2.4907,2.2833,0.8681,0.866
31.0,2.4901,2.2827,0.868,0.8671
32.0,2.4896,2.2821,0.8656,0.8643
33.0,2.489,2.2816,0.8655,0.8639
34.0,2.4884,2.281,0.8636,0.8621
35.0,2.4878,2.2804,0.8618,0.86
36.0,2.4872,2.2798,0.8594,0.8578
37.0,2.4867,2.2794,0.8589,0.857
38.0,2.4861,2.2787,0.8574,0.8556
39.0,2.4856,2.2782,0.8547,0.8532
40.0,2.485,2.2777,0.853,0.8513
41.0,2.4845,2.2771,0.8509,0.8489
42.0,2.484,2.2766,0.8473,0.8447
43.0,2.4834,2.276,0.8474,0.8448
44.0,2.4828,2.2754,0.8401,0.8371
45.0,2.4822,2.2748,0.8392,0.8363
46.0,2.4816,2.2743,0.8364,0.8348
47.0,2.4811,2.2738,0.8327,0.83
48.0,2.4807,2.2733,0.8286,0.8256
49.0,2.4801,2.2728,0.8206,0.8157
50.0,2.4796,2.2723,0.821,0.8161
51.0,2.4792,2.2718,0.8225,0.818
52.0,2.4786,2.2713,0.8223,0.8179
53.0,2.4781,2.2707,0.8195,0.8151
54.0,2.4775,2.2701,0.8185,0.8144
55.0,2.4769,2.2696,0.8162,0.812
56.0,2.4763,2.269,0.8138,0.8094
57.0,2.4757,2.2684,0.8087,0.805
58.0,2.475,2.2677,0.8044,0.8008
59.0,2.4745,2.2672,0.8011,0.7974
60.0,2.4739,2.2666,0.796,0.7908
61.0,2.4734,2.2661,0.7953,0.7905
62.0,2.4729,2.2655,0.797,0.7922
63.0,2.4724,2.265,0.7997,0.7961
64.0,2.4717,2.2643,0.7947,0.7897
65.0,2.471,2.2637,0.7898,0.7857
66.0,2.4705,2.2631,0.788,0.7835
67.0,2.47,2.2626,0.7888,0.7843
68.0,2.4694,2.262,0.7881,0.7825
69.0,2.4689,2.2615,0.7859,0.7811
70.0,2.4682,2.2608,0.7828,0.7782
71.0,2.4677,2.2603,0.7784,0.7739
72.0,2.4671,2.2597,0.7771,0.7732
73.0,2.4665,2.2592,0.7756,0.7711
74.0,2.4659,2.2586,0.7721,0.7681
75.0,2.4654,2.258,0.7698,0.7658
76.0,2.4649,2.2575,0.7627,0.7607
77.0,2.4642,2.2569,0.7624,0.7599
78.0,2.4636,2.2563,0.7582,0.7575
79.0,2.4631,2.2557,0.7548,0.7545
80.0,2.4625,2.2551,0.7521,0.7518
81.0,2.462,2.2546,0.7486,0.7495
82.0,2.4614,2.254,0.7497,0.7512
83.0,2.4609,2.2535,0.7475,0.7485
84.0,2.4604,2.253,0.7448,0.7468
85.0,2.4599,2.2525,0.7413,0.7436
86.0,2.4592,2.2518,0.7378,0.7407
87.0,2.4587,2.2514,0.7382,0.7417
88.0,2.4581,2.2507,0.7384,0.7409
89.0,2.4576,2.2502,0.7378,0.7403
90.0,2.457,2.2496,0.7416,0.7437
91.0,2.4564,2.249,0.737,0.7391
92.0,2.4559,2.2485,0.7386,0.7419
93.0,2.4553,2.2479,0.7376,0.7404
94.0,2.4547,2.2474,0.7387,0.7407
95.0,2.4541,2.2467,0.7316,0.7333
96.0,2.4535,2.2461,0.7277,0.7301
97.0,2.453,2.2455,0.7231,0.7264
98.0,2.4524,2.245,0.7172,0.7204
99.0,2.4517,2.2443,0.7112,0.7159
100.0,2.4511,2.2437,0.7109,0.7145
101.0,2.4506,2.2432,0.7078,0.7112
102.0,2.4501,2.2427,0.7063,0.7105
103.0,2.4495,2.2421,0.7003,0.703
104.0,2.4489,2.2415,0.6987,0.7021
105.0,2.4483,2.2409,0.6974,0.7006
