iteration,C_train,C_test,train_error,test_error
1.0,2.5448,2.3364,0.9163,0.9156
2.0,2.5447,2.3363,0.9159,0.9152
3.0,2.5446,2.3362,0.916,0.9153
4.0,2.5445,2.3362,0.9161,0.9154
5.0,2.5445,2.3361,0.9162,0.9154
6.0,2.5445,2.3361,0.9166,0.9157
7.0,2.5445,2.3361,0.9166,0.9157
8.0,2.5445,2.3361,0.9168,0.9156
9.0,2.5444,2.3361,0.9167,0.9157
10.0,2.5444,2.336,0.9168,0.916
11.0,2.5443,2.336,0.9168,0.916
12.0,2.5443,2.3359,0.9168,0.916
13.0,2.5443,2.336,0.9169,0.916
14.0,2.5443,2.3359,0.9168,0.9158
15.0,2.5442,2.3358,0.9166,0.9154
16.0,2.5442,2.3358,0.9166,0.9155
17.0,2.5442,2.3358,0.9166,0.9157
18.0,2.5441,2.3358,0.9168,0.9159
19.0,2.5441,2.3357,0.9168,0.916
20.0,2.5441,2.3357,0.9168,0.916
21.0,2.544,2.3356,0.9167,0.9159
22.0,2.5439,2.3355,0.9169,0.916
23.0,2.5439,2.3355,0.9168,0.9159
24.0,2.5438,2.3355,0.9169,0.9159
25.0,2.5438,2.3355,0.9168,0.9159
26.0,2.5438,2.3354,0.9173,0.9163
27.0,2.5438,2.3354,0.9171,0.9163
28.0,2.5437,2.3354,0.917,0.9161
29.0,2.5437,2.3354,0.917,0.9161
30.0,2.5437,2.3353,0.9168,0.916
31.0,2.5436,2.3353,0.9167,0.916
32.0,2.5435,2.3352,0.9167,0.916
33.0,2.5435,2.3352,0.9169,0.916
34.0,2.5435,2.3351,0.917,0.916
35.0,2.5435,2.3351,0.917,0.9161
36.0,2.5434,2.3351,0.9169,0.916
37.0,2.5434,2.3351,0.9169,0.9161
38.0,2.5434,2.335,0.917,0.916
39.0,2.5434,2.335,0.9172,0.9163
40.0,2.5433,2.335,0.9172,0.9163
41.0,2.5433,2.335,0.9174,0.9165
42.0,2.5433,2.335,0.9172,0.9161
43.0,2.5432,2.3349,0.9173,0.9161
44.0,2.5432,2.3349,0.9171,0.9162
45.0,2.5432,2.3348,0.917,0.916
46.0,2.5431,2.3348,0.917,0.9161
47.0,2.5431,2.3347,0.9169,0.9159
48.0,2.5431,2.3347,0.917,0.916
49.0,2.543,2.3347,0.9171,0.916
50.0,2.543,2.3347,0.9172,0.916
51.0,2.543,2.3347,0.9172,0.9163
52.0,2.543,2.3346,0.9175,0.9165
53.0,2.543,2.3346,0.9176,0.9166
54.0,2.543,2.3346,0.9176,0.9166
55.0,2.543,2.3347,0.9177,0.9166
56.0,2.543,2.3347,0.9176,0.9164
57.0,2.543,2.3346,0.9176,0.9165
58.0,2.5429,2.3346,0.9173,0.9161
59.0,2.5429,2.3345,0.9174,0.9164
60.0,2.5429,2.3345,0.9172,0.9164
61.0,2.5429,2.3345,0.9171,0.9162
62.0,2.5429,2.3345,0.9172,0.9164
63.0,2.5428,2.3345,0.9169,0.9158
64.0,2.5428,2.3345,0.9168,0.9158
65.0,2.5428,2.3345,0.9167,0.9157
66.0,2.5428,2.3345,0.9166,0.9157
67.0,2.5428,2.3345,0.9166,0.9157
68.0,2.5427,2.3344,0.9167,0.9156
69.0,2.5427,2.3343,0.9165,0.9156
70.0,2.5427,2.3343,0.9165,0.9156
71.0,2.5426,2.3343,0.9164,0.9154
72.0,2.5426,2.3343,0.9165,0.9155
73.0,2.5426,2.3342,0.9165,0.9154
74.0,2.5425,2.3342,0.9165,0.9156
75.0,2.5425,2.3341,0.9166,0.9152
76.0,2.5424,2.3341,0.9164,0.9153
77.0,2.5424,2.3341,0.9166,0.9155
78.0,2.5424,2.334,0.9164,0.9154
79.0,2.5423,2.334,0.9162,0.9151
80.0,2.5423,2.334,0.9161,0.915
81.0,2.5423,2.334,0.9161,0.9151
82.0,2.5423,2.334,0.9162,0.9151
