iteration,C_train,C_test,train_error,test_error
1.0,2.5041,2.2966,0.877,0.8762
2.0,2.5022,2.2948,0.8713,0.8705
3.0,2.5012,2.2938,0.8693,0.8691
4.0,2.4999,2.2925,0.861,0.861
5.0,2.4984,2.291,0.8554,0.8546
6.0,2.4971,2.2897,0.8556,0.8544
7.0,2.4957,2.2884,0.8494,0.8474
8.0,2.495,2.2876,0.8473,0.8455
9.0,2.4934,2.2861,0.8356,0.8337
10.0,2.492,2.2847,0.8267,0.825
11.0,2.4907,2.2834,0.8207,0.8191
12.0,2.4895,2.2822,0.816,0.8145
13.0,2.4882,2.2809,0.8094,0.8085
14.0,2.4869,2.2796,0.8079,0.8082
15.0,2.4856,2.2783,0.8039,0.8022
16.0,2.4842,2.2769,0.7962,0.7965
17.0,2.483,2.2757,0.7955,0.7954
18.0,2.4819,2.2746,0.7967,0.796
19.0,2.4807,2.2734,0.7918,0.7903
20.0,2.4793,2.2721,0.7873,0.7868
21.0,2.478,2.2708,0.7863,0.7851
22.0,2.4769,2.2697,0.7832,0.7823
23.0,2.4761,2.2689,0.7792,0.7798
24.0,2.4749,2.2677,0.7772,0.7772
25.0,2.4738,2.2666,0.7729,0.7732
26.0,2.4726,2.2654,0.7708,0.7709
27.0,2.4712,2.264,0.7704,0.7708
28.0,2.4704,2.2631,0.769,0.7693
29.0,2.4693,2.2621,0.7648,0.7643
30.0,2.4681,2.2609,0.7635,0.7641
31.0,2.4669,2.2597,0.7569,0.7585
32.0,2.4656,2.2584,0.7459,0.7483
33.0,2.4646,2.2574,0.7442,0.7471
34.0,2.4639,2.2567,0.7433,0.7453
35.0,2.4629,2.2557,0.7441,0.7464
36.0,2.4618,2.2546,0.7377,0.7407
37.0,2.4605,2.2533,0.7297,0.7342
38.0,2.4592,2.252,0.7225,0.7274
39.0,2.458,2.2508,0.718,0.7231
40.0,2.4568,2.2496,0.7087,0.7136
41.0,2.456,2.2488,0.7096,0.7157
42.0,2.4548,2.2476,0.7063,0.7114
43.0,2.4536,2.2464,0.7008,0.7059
44.0,2.4526,2.2454,0.6979,0.7047
45.0,2.4516,2.2444,0.6981,0.7026
46.0,2.4505,2.2433,0.6949,0.6988
47.0,2.4495,2.2423,0.6921,0.6974
48.0,2.4483,2.2411,0.6896,0.6937
49.0,2.4471,2.2399,0.6873,0.6886
50.0,2.446,2.2388,0.6782,0.6801
51.0,2.4449,2.2377,0.6772,0.6792
52.0,2.4439,2.2367,0.6768,0.6784
53.0,2.4428,2.2356,0.666,0.6702
54.0,2.4417,2.2346,0.6658,0.6705
55.0,2.4407,2.2335,0.6667,0.6712
56.0,2.4396,2.2325,0.6634,0.6685
57.0,2.4386,2.2314,0.6662,0.6695
58.0,2.4375,2.2303,0.6565,0.6623
59.0,2.4366,2.2294,0.6592,0.6628
60.0,2.4354,2.2282,0.6534,0.6594
61.0,2.4342,2.2271,0.6526,0.6584
62.0,2.4331,2.226,0.6476,0.6522
63.0,2.432,2.2249,0.6503,0.654
64.0,2.4308,2.2236,0.6517,0.6575
65.0,2.4297,2.2225,0.651,0.6572
66.0,2.4286,2.2214,0.6575,0.6632
67.0,2.4275,2.2203,0.6623,0.6664
68.0,2.4265,2.2193,0.6628,0.668
69.0,2.4254,2.2182,0.6663,0.6702
70.0,2.4244,2.2171,0.6669,0.6707
71.0,2.4232,2.216,0.6709,0.6738
72.0,2.4222,2.2149,0.6749,0.6785
73.0,2.4212,2.2139,0.6712,0.6739
74.0,2.4201,2.2129,0.6736,0.6767
75.0,2.4191,2.2119,0.6657,0.6685
76.0,2.418,2.2108,0.6662,0.6696
77.0,2.4169,2.2097,0.667,0.6699
78.0,2.4158,2.2086,0.6731,0.6754
79.0,2.4147,2.2074,0.6822,0.6842
80.0,2.4136,2.2064,0.6844,0.6861
81.0,2.4127,2.2055,0.6817,0.684
82.0,2.4116,2.2044,0.6815,0.6833
83.0,2.4106,2.2034,0.6762,0.6789
84.0,2.4095,2.2023,0.6735,0.676
85.0,2.4084,2.2012,0.6698,0.6717
86.0,2.4073,2.2,0.6709,0.6725
87.0,2.4062,2.199,0.6627,0.6652
88.0,2.405,2.1978,0.6647,0.6677
89.0,2.4039,2.1967,0.6638,0.6664
90.0,2.4029,2.1957,0.6614,0.6646
91.0,2.4017,2.1944,0.662,0.6646
92.0,2.4005,2.1933,0.6615,0.6642
93.0,2.3994,2.1921,0.6662,0.6688
94.0,2.3982,2.1909,0.6626,0.6665
95.0,2.3972,2.1899,0.6611,0.6644
96.0,2.396,2.1887,0.6568,0.6598
97.0,2.3948,2.1875,0.6641,0.6663
98.0,2.3937,2.1864,0.6613,0.6633
99.0,2.3926,2.1853,0.6613,0.6636
100.0,2.3916,2.1843,0.6534,0.6569
101.0,2.3904,2.1831,0.651,0.6548
102.0,2.3892,2.1818,0.653,0.6572
103.0,2.388,2.1807,0.6591,0.6623
104.0,2.3868,2.1795,0.6587,0.663
105.0,2.3857,2.1784,0.6518,0.6554
106.0,2.3846,2.1772,0.6572,0.6597
107.0,2.3835,2.1762,0.6516,0.6548
108.0,2.3824,2.175,0.6519,0.6539
109.0,2.3812,2.1739,0.6592,0.6603
110.0,2.3802,2.1728,0.6475,0.65
111.0,2.3791,2.1717,0.6504,0.6528
112.0,2.3778,2.1704,0.6542,0.6561
113.0,2.3766,2.1692,0.6556,0.6572
114.0,2.3753,2.1678,0.651,0.6529
115.0,2.3741,2.1667,0.6496,0.6524
116.0,2.3729,2.1654,0.65,0.6536
117.0,2.3717,2.1642,0.6483,0.6526
118.0,2.3705,2.163,0.6481,0.6522
119.0,2.3693,2.1618,0.6466,0.6506
120.0,2.368,2.1606,0.6333,0.6378
121.0,2.3669,2.1594,0.6332,0.6391
122.0,2.3656,2.1581,0.6305,0.6345
123.0,2.3643,2.1569,0.6295,0.6332
124.0,2.3632,2.1558,0.6203,0.6243
125.0,2.362,2.1544,0.627,0.6301
126.0,2.3607,2.1532,0.6228,0.6269
127.0,2.3594,2.1519,0.6216,0.6254
128.0,2.3582,2.1506,0.6232,0.6267
129.0,2.3569,2.1494,0.6212,0.6246
130.0,2.3557,2.1483,0.6189,0.6234
131.0,2.3544,2.1469,0.6207,0.6247
132.0,2.3531,2.1455,0.6262,0.6296
133.0,2.352,2.1445,0.6179,0.6233
134.0,2.3507,2.1432,0.6165,0.6209
135.0,2.3495,2.142,0.6184,0.6228
136.0,2.3483,2.1408,0.6172,0.6223
137.0,2.347,2.1395,0.621,0.6249
138.0,2.3457,2.1382,0.6154,0.6202
139.0,2.3443,2.1368,0.6167,0.6208
140.0,2.343,2.1355,0.613,0.6175
141.0,2.3418,2.1342,0.607,0.6115
142.0,2.3404,2.1328,0.6062,0.6115
143.0,2.3391,2.1316,0.6018,0.6075
144.0,2.3378,2.1302,0.5975,0.6019
145.0,2.3365,2.129,0.5922,0.5943
146.0,2.3352,2.1276,0.587,0.5881
147.0,2.334,2.1264,0.5856,0.5874
148.0,2.3326,2.125,0.5824,0.584
149.0,2.3314,2.1238,0.5749,0.5769
150.0,2.3302,2.1226,0.5711,0.5762
151.0,2.329,2.1213,0.5774,0.58
152.0,2.3276,2.1199,0.5752,0.5785
153.0,2.3264,2.1187,0.5774,0.5788
154.0,2.3249,2.1172,0.5839,0.5854
155.0,2.3235,2.1157,0.5897,0.5923
156.0,2.3221,2.1144,0.5845,0.5859
157.0,2.3207,2.113,0.5863,0.5872
158.0,2.3195,2.1117,0.591,0.5949
159.0,2.3181,2.1103,0.589,0.5907
160.0,2.3168,2.109,0.5908,0.5944
161.0,2.3154,2.1076,0.5936,0.598
162.0,2.3141,2.1062,0.6017,0.6065
163.0,2.3127,2.1048,0.5976,0.6022
164.0,2.3112,2.1033,0.5991,0.6025
165.0,2.3098,2.1019,0.5958,0.599
166.0,2.3084,2.1005,0.5949,0.5975
167.0,2.3071,2.0992,0.5956,0.5987
168.0,2.3056,2.0977,0.5879,0.5904
169.0,2.3043,2.0964,0.5822,0.5848
170.0,2.3028,2.0949,0.5807,0.5834
171.0,2.3014,2.0935,0.5725,0.5742
172.0,2.2999,2.092,0.5735,0.5769
173.0,2.2985,2.0907,0.5664,0.5691
174.0,2.297,2.0892,0.5543,0.5567
175.0,2.2955,2.0876,0.5587,0.5607
176.0,2.2942,2.0863,0.5634,0.5651
177.0,2.2927,2.0847,0.5606,0.562
178.0,2.2912,2.0832,0.5581,0.5605
179.0,2.2899,2.0819,0.5549,0.5575
180.0,2.2883,2.0803,0.5538,0.5552
181.0,2.2868,2.0788,0.558,0.5604
182.0,2.2854,2.0773,0.5582,0.5602
183.0,2.2838,2.0758,0.5594,0.5607
184.0,2.2821,2.074,0.554,0.5555
185.0,2.2807,2.0726,0.5512,0.5539
186.0,2.279,2.0709,0.5412,0.5433
187.0,2.2774,2.0693,0.5453,0.5466
188.0,2.2757,2.0677,0.5325,0.5362
189.0,2.2743,2.0662,0.5348,0.5354
190.0,2.2727,2.0647,0.5339,0.5357
191.0,2.2713,2.0632,0.5324,0.5338
192.0,2.2698,2.0616,0.5408,0.5425
193.0,2.2683,2.0601,0.5383,0.5422
194.0,2.2665,2.0583,0.5216,0.5268
195.0,2.2649,2.0567,0.5202,0.5263
196.0,2.2633,2.0551,0.5188,0.5235
197.0,2.2616,2.0534,0.5141,0.5193
198.0,2.26,2.0517,0.5045,0.5105
199.0,2.2584,2.0501,0.5055,0.5121
200.0,2.2568,2.0485,0.4953,0.5032
201.0,2.2552,2.0469,0.4941,0.5026
202.0,2.2535,2.0452,0.4915,0.4998
203.0,2.2521,2.0438,0.4834,0.4939
204.0,2.2501,2.0418,0.482,0.4919
205.0,2.2485,2.0402,0.4773,0.4895
206.0,2.2468,2.0385,0.4751,0.4878
207.0,2.2451,2.0368,0.4767,0.4883
208.0,2.2435,2.0351,0.4706,0.4835
209.0,2.2418,2.0334,0.4635,0.4756
210.0,2.2399,2.0316,0.4652,0.476
211.0,2.2381,2.0297,0.4618,0.4731
212.0,2.2364,2.0281,0.4481,0.4601
213.0,2.2348,2.0264,0.4534,0.4648
214.0,2.2333,2.0248,0.4573,0.4673
215.0,2.2315,2.0231,0.4531,0.4637
216.0,2.2297,2.0212,0.4555,0.4671
217.0,2.228,2.0195,0.4675,0.4794
218.0,2.2262,2.0177,0.4676,0.4786
219.0,2.2245,2.0159,0.4689,0.4789
220.0,2.2227,2.0141,0.4653,0.4751
221.0,2.2209,2.0124,0.4521,0.4635
222.0,2.219,2.0104,0.4538,0.4639
223.0,2.2173,2.0087,0.4554,0.4666
224.0,2.2155,2.0069,0.4607,0.4709
225.0,2.2137,2.005,0.4532,0.4622
226.0,2.2118,2.0031,0.449,0.4588
227.0,2.2103,2.0016,0.4445,0.456
228.0,2.2084,1.9997,0.4447,0.4558
229.0,2.2067,1.998,0.4403,0.4519
230.0,2.2047,1.996,0.4355,0.4472
231.0,2.2026,1.9939,0.4366,0.448
232.0,2.2006,1.9918,0.4374,0.448
233.0,2.1987,1.9899,0.4328,0.4424
234.0,2.1969,1.9879,0.4429,0.4556
235.0,2.1951,1.9861,0.4469,0.4595
236.0,2.193,1.984,0.4452,0.4563
237.0,2.1912,1.9821,0.4452,0.4581
238.0,2.1892,1.9801,0.4417,0.455
239.0,2.1875,1.9783,0.4373,0.4502
240.0,2.1859,1.9767,0.438,0.4475
241.0,2.1839,1.9747,0.4415,0.4506
242.0,2.1821,1.9729,0.4427,0.4508
243.0,2.1804,1.9711,0.4329,0.4413
244.0,2.1782,1.969,0.4348,0.4413
245.0,2.1763,1.9672,0.4307,0.4364
246.0,2.174,1.9648,0.4248,0.4317
247.0,2.1722,1.9629,0.4281,0.4349
248.0,2.1703,1.9609,0.4353,0.4458
249.0,2.1684,1.959,0.4288,0.4381
250.0,2.1665,1.957,0.4295,0.4375
251.0,2.1643,1.9548,0.4351,0.4421
252.0,2.1622,1.9526,0.4232,0.4326
253.0,2.1603,1.9506,0.4251,0.4335
254.0,2.1582,1.9485,0.428,0.4372
255.0,2.1563,1.9466,0.4188,0.4262
256.0,2.1545,1.9447,0.409,0.4189
257.0,2.1523,1.9425,0.4142,0.42
258.0,2.1502,1.9404,0.4155,0.4232
259.0,2.1482,1.9385,0.4053,0.4144
260.0,2.1464,1.9366,0.4064,0.4167
261.0,2.1444,1.9345,0.4104,0.4196
262.0,2.1422,1.9322,0.4244,0.4302
263.0,2.1401,1.9301,0.423,0.429
264.0,2.1382,1.9281,0.4232,0.4292
265.0,2.1362,1.9261,0.42,0.4269
266.0,2.1341,1.9239,0.4109,0.4176
267.0,2.132,1.9218,0.4121,0.4189
268.0,2.1298,1.9196,0.4132,0.4192
269.0,2.1275,1.9173,0.4164,0.4233
270.0,2.1253,1.915,0.4092,0.4159
271.0,2.1231,1.9128,0.4128,0.4202
272.0,2.1206,1.9103,0.4116,0.4187
273.0,2.1189,1.9084,0.4115,0.4203
274.0,2.1168,1.9063,0.4094,0.4186
275.0,2.1147,1.9042,0.4048,0.4134
276.0,2.1123,1.9018,0.4043,0.4108
277.0,2.1105,1.8999,0.4018,0.4091
278.0,2.1083,1.8977,0.3991,0.4087
279.0,2.1062,1.8955,0.3969,0.4069
280.0,2.1039,1.8932,0.3966,0.4056
281.0,2.1018,1.8911,0.3964,0.4059
282.0,2.0996,1.8888,0.3972,0.4063
283.0,2.0975,1.8866,0.4069,0.4158
284.0,2.0953,1.8844,0.4083,0.4162
285.0,2.0931,1.8821,0.4092,0.4193
286.0,2.0909,1.8798,0.415,0.4228
287.0,2.0886,1.8776,0.4082,0.4172
288.0,2.0862,1.8752,0.4019,0.4124
289.0,2.0839,1.8728,0.3967,0.4067
290.0,2.0814,1.8704,0.4,0.4066
291.0,2.0791,1.868,0.3938,0.4019
292.0,2.0769,1.8658,0.3959,0.4046
