iteration,C_train,C_test,train_error,test_error
1.0,2.5089,2.3013,0.8948,0.8942
2.0,2.5089,2.3013,0.8948,0.8942
3.0,2.5089,2.3013,0.8948,0.8942
4.0,2.5089,2.3013,0.8948,0.8942
5.0,2.5089,2.3013,0.8948,0.8942
6.0,2.5089,2.3013,0.8948,0.8942
7.0,2.5089,2.3013,0.8948,0.8942
8.0,2.5089,2.3013,0.8948,0.8942
9.0,2.5089,2.3013,0.8948,0.8942
10.0,2.5088,2.3013,0.8948,0.8943
11.0,2.5088,2.3013,0.8948,0.8943
12.0,2.5088,2.3013,0.8949,0.8943
13.0,2.5088,2.3013,0.8948,0.8943
14.0,2.5088,2.3013,0.8948,0.8943
15.0,2.5088,2.3013,0.8948,0.8943
16.0,2.5088,2.3013,0.8948,0.8942
17.0,2.5088,2.3012,0.8948,0.8942
18.0,2.5088,2.3012,0.8948,0.8942
19.0,2.5088,2.3012,0.8948,0.8941
20.0,2.5088,2.3012,0.8948,0.8941
21.0,2.5088,2.3012,0.8948,0.8941
22.0,2.5088,2.3012,0.8948,0.8941
23.0,2.5088,2.3012,0.8948,0.8941
24.0,2.5088,2.3012,0.8948,0.8941
25.0,2.5088,2.3012,0.8948,0.8941
26.0,2.5088,2.3012,0.8948,0.8941
27.0,2.5088,2.3012,0.8948,0.894
28.0,2.5088,2.3012,0.8948,0.894
29.0,2.5088,2.3012,0.8948,0.894
30.0,2.5088,2.3012,0.8948,0.894
31.0,2.5088,2.3012,0.8948,0.894
32.0,2.5088,2.3012,0.8948,0.894
33.0,2.5088,2.3012,0.8949,0.894
34.0,2.5087,2.3012,0.8949,0.894
35.0,2.5087,2.3012,0.8948,0.894
36.0,2.5087,2.3012,0.8948,0.894
37.0,2.5087,2.3012,0.8948,0.894
38.0,2.5087,2.3012,0.8948,0.894
39.0,2.5087,2.3012,0.8948,0.894
40.0,2.5087,2.3012,0.8948,0.894
41.0,2.5087,2.3012,0.8948,0.894
42.0,2.5087,2.3012,0.8948,0.894
43.0,2.5087,2.3011,0.8948,0.894
44.0,2.5087,2.3011,0.8948,0.894
45.0,2.5087,2.3011,0.8948,0.894
46.0,2.5087,2.3011,0.8948,0.894
47.0,2.5087,2.3011,0.8948,0.894
48.0,2.5087,2.3011,0.8948,0.894
49.0,2.5087,2.3011,0.8948,0.8941
50.0,2.5087,2.3011,0.8948,0.894
51.0,2.5087,2.3011,0.8948,0.894
52.0,2.5087,2.3011,0.8948,0.894
53.0,2.5087,2.3011,0.8948,0.894
54.0,2.5087,2.3011,0.8947,0.894
55.0,2.5086,2.3011,0.8947,0.894
56.0,2.5086,2.3011,0.8947,0.894
57.0,2.5086,2.3011,0.8947,0.8939
58.0,2.5086,2.3011,0.8947,0.8939
59.0,2.5086,2.3011,0.8947,0.8939
60.0,2.5086,2.3011,0.8948,0.894
61.0,2.5086,2.3011,0.8947,0.8939
62.0,2.5086,2.3011,0.8947,0.8939
63.0,2.5086,2.3011,0.8947,0.8939
64.0,2.5086,2.3011,0.8947,0.894
65.0,2.5086,2.3011,0.8947,0.8939
66.0,2.5086,2.301,0.8947,0.8939
67.0,2.5086,2.301,0.8947,0.8939
68.0,2.5086,2.301,0.8947,0.8939
69.0,2.5086,2.301,0.8947,0.8938
70.0,2.5086,2.301,0.8947,0.8938
71.0,2.5086,2.301,0.8947,0.8938
72.0,2.5086,2.301,0.8947,0.8938
73.0,2.5086,2.301,0.8946,0.8938
74.0,2.5086,2.301,0.8947,0.8938
75.0,2.5086,2.301,0.8947,0.8938
76.0,2.5086,2.301,0.8946,0.8938
77.0,2.5085,2.301,0.8946,0.8938
78.0,2.5085,2.301,0.8946,0.8938
79.0,2.5085,2.301,0.8946,0.8939
80.0,2.5085,2.301,0.8947,0.8938
81.0,2.5085,2.301,0.8946,0.8939
82.0,2.5085,2.301,0.8946,0.8938
83.0,2.5085,2.301,0.8946,0.8938
84.0,2.5085,2.301,0.8947,0.8938
85.0,2.5085,2.301,0.8946,0.8938
86.0,2.5085,2.301,0.8946,0.8938
87.0,2.5085,2.301,0.8946,0.8938
88.0,2.5085,2.3009,0.8946,0.8938
89.0,2.5085,2.3009,0.8946,0.8938
90.0,2.5085,2.3009,0.8946,0.8938
91.0,2.5085,2.3009,0.8946,0.8938
92.0,2.5085,2.3009,0.8946,0.8938
93.0,2.5085,2.3009,0.8946,0.8938
94.0,2.5085,2.3009,0.8946,0.8938
95.0,2.5085,2.3009,0.8946,0.8938
96.0,2.5085,2.3009,0.8946,0.8938
97.0,2.5085,2.3009,0.8946,0.8938
98.0,2.5085,2.3009,0.8946,0.8938
99.0,2.5085,2.3009,0.8946,0.8937
100.0,2.5085,2.3009,0.8946,0.8938
101.0,2.5084,2.3009,0.8946,0.8938
102.0,2.5084,2.3009,0.8945,0.8938
103.0,2.5084,2.3009,0.8945,0.8938
104.0,2.5084,2.3009,0.8945,0.8938
105.0,2.5084,2.3009,0.8945,0.8939
106.0,2.5084,2.3009,0.8945,0.8939
107.0,2.5084,2.3009,0.8945,0.8939
108.0,2.5084,2.3009,0.8945,0.8939
109.0,2.5084,2.3009,0.8945,0.8939
110.0,2.5084,2.3009,0.8945,0.8939
111.0,2.5084,2.3008,0.8945,0.8939
112.0,2.5084,2.3008,0.8945,0.8939
113.0,2.5084,2.3008,0.8945,0.8939
114.0,2.5084,2.3008,0.8945,0.8939
115.0,2.5084,2.3008,0.8945,0.8939
116.0,2.5084,2.3008,0.8944,0.8939
117.0,2.5084,2.3008,0.8944,0.8939
118.0,2.5084,2.3008,0.8944,0.8939
119.0,2.5084,2.3008,0.8944,0.8939
120.0,2.5084,2.3008,0.8944,0.8939
121.0,2.5084,2.3008,0.8944,0.8939
122.0,2.5084,2.3008,0.8944,0.8939
123.0,2.5084,2.3008,0.8944,0.8939
124.0,2.5084,2.3008,0.8944,0.8939
125.0,2.5083,2.3008,0.8944,0.8939
126.0,2.5083,2.3008,0.8945,0.8939
127.0,2.5083,2.3008,0.8944,0.8939
128.0,2.5083,2.3008,0.8944,0.8939
129.0,2.5083,2.3008,0.8944,0.8938
130.0,2.5083,2.3008,0.8944,0.8938
131.0,2.5083,2.3008,0.8944,0.8938
132.0,2.5083,2.3008,0.8944,0.8938
133.0,2.5083,2.3007,0.8944,0.8938
134.0,2.5083,2.3007,0.8944,0.8938
135.0,2.5083,2.3007,0.8944,0.8938
136.0,2.5083,2.3007,0.8944,0.8938
137.0,2.5083,2.3007,0.8944,0.8938
138.0,2.5083,2.3007,0.8944,0.8938
139.0,2.5083,2.3007,0.8944,0.8938
140.0,2.5083,2.3007,0.8944,0.8938
141.0,2.5082,2.3007,0.8944,0.8938
142.0,2.5082,2.3007,0.8944,0.8937
143.0,2.5082,2.3007,0.8944,0.8937
144.0,2.5082,2.3007,0.8944,0.8937
145.0,2.5082,2.3007,0.8944,0.8937
146.0,2.5082,2.3007,0.8944,0.8937
147.0,2.5082,2.3007,0.8944,0.8937
148.0,2.5082,2.3007,0.8944,0.8937
149.0,2.5082,2.3007,0.8944,0.8937
150.0,2.5082,2.3006,0.8944,0.8937
151.0,2.5082,2.3006,0.8944,0.8936
152.0,2.5082,2.3006,0.8944,0.8936
153.0,2.5082,2.3006,0.8944,0.8935
154.0,2.5082,2.3006,0.8944,0.8935
155.0,2.5082,2.3006,0.8944,0.8935
156.0,2.5082,2.3006,0.8944,0.8935
157.0,2.5082,2.3006,0.8943,0.8936
158.0,2.5081,2.3006,0.8943,0.8936
159.0,2.5081,2.3006,0.8943,0.8936
160.0,2.5081,2.3006,0.8943,0.8936
161.0,2.5081,2.3006,0.8943,0.8937
162.0,2.5081,2.3006,0.8943,0.8937
163.0,2.5081,2.3006,0.8943,0.8937
164.0,2.5081,2.3006,0.8943,0.8936
165.0,2.5081,2.3006,0.8943,0.8936
166.0,2.5081,2.3006,0.8943,0.8936
167.0,2.5081,2.3006,0.8943,0.8936
168.0,2.5081,2.3006,0.8943,0.8937
169.0,2.5081,2.3006,0.8943,0.8937
170.0,2.5081,2.3005,0.8943,0.8937
171.0,2.5081,2.3005,0.8943,0.8937
172.0,2.5081,2.3005,0.8943,0.8937
173.0,2.5081,2.3005,0.8943,0.8937
174.0,2.5081,2.3005,0.8943,0.8937
175.0,2.5081,2.3005,0.8943,0.8937
176.0,2.5081,2.3005,0.8943,0.8937
177.0,2.5081,2.3005,0.8942,0.8937
178.0,2.5081,2.3005,0.8943,0.8937
179.0,2.5081,2.3005,0.8943,0.8937
180.0,2.5081,2.3005,0.8943,0.8937
181.0,2.5081,2.3005,0.8942,0.8935
182.0,2.508,2.3005,0.8942,0.8935
183.0,2.508,2.3005,0.8942,0.8935
184.0,2.508,2.3005,0.8942,0.8935
185.0,2.508,2.3005,0.8942,0.8935
186.0,2.508,2.3005,0.8942,0.8935
187.0,2.508,2.3005,0.8942,0.8935
188.0,2.508,2.3005,0.8942,0.8935
189.0,2.508,2.3005,0.8942,0.8935
190.0,2.508,2.3005,0.8942,0.8935
191.0,2.508,2.3005,0.8942,0.8935
192.0,2.508,2.3005,0.8942,0.8935
193.0,2.508,2.3005,0.8942,0.8935
194.0,2.508,2.3005,0.8942,0.8935
195.0,2.508,2.3005,0.8942,0.8935
196.0,2.508,2.3004,0.8942,0.8935
197.0,2.508,2.3004,0.8942,0.8935
