iteration,C_train,C_test,train_error,test_error
1.0,2.5365,2.3285,0.9456,0.9503
2.0,2.5362,2.3282,0.9446,0.9491
3.0,2.5358,2.3278,0.9433,0.948
4.0,2.5357,2.3277,0.9435,0.9484
5.0,2.5354,2.3274,0.9438,0.9484
6.0,2.5353,2.3272,0.9424,0.947
7.0,2.5351,2.3271,0.9416,0.946
8.0,2.5348,2.3268,0.9409,0.9448
9.0,2.5344,2.3264,0.9404,0.9438
10.0,2.5341,2.3262,0.9387,0.9428
11.0,2.5339,2.326,0.9386,0.9424
12.0,2.5338,2.3258,0.9392,0.9428
13.0,2.5335,2.3255,0.9384,0.9427
14.0,2.5333,2.3253,0.938,0.9418
15.0,2.533,2.3251,0.9381,0.942
16.0,2.5328,2.3249,0.9369,0.9402
17.0,2.5327,2.3247,0.9359,0.9391
18.0,2.5324,2.3245,0.9342,0.9371
19.0,2.5322,2.3243,0.9333,0.9362
20.0,2.532,2.3241,0.9331,0.9361
21.0,2.5318,2.3239,0.932,0.9354
22.0,2.5316,2.3237,0.9315,0.9352
23.0,2.5313,2.3234,0.9308,0.9349
24.0,2.5311,2.3232,0.93,0.9338
25.0,2.5309,2.3229,0.9289,0.9327
26.0,2.5305,2.3226,0.9276,0.9315
27.0,2.5304,2.3225,0.9272,0.9308
28.0,2.5301,2.3222,0.9267,0.9299
29.0,2.5297,2.3219,0.9257,0.9299
30.0,2.5295,2.3216,0.9235,0.927
31.0,2.5293,2.3214,0.9236,0.9268
32.0,2.5291,2.3213,0.9228,0.9265
33.0,2.5289,2.3211,0.9224,0.9259
34.0,2.5287,2.3208,0.9227,0.9263
35.0,2.5284,2.3206,0.9221,0.9256
36.0,2.5282,2.3203,0.9214,0.9252
37.0,2.528,2.3202,0.9209,0.925
38.0,2.5278,2.32,0.9209,0.9251
39.0,2.5276,2.3197,0.92,0.9241
40.0,2.5274,2.3196,0.9203,0.9247
41.0,2.5272,2.3194,0.9216,0.9257
42.0,2.5271,2.3193,0.9208,0.925
43.0,2.5268,2.319,0.921,0.9251
44.0,2.5266,2.3188,0.9213,0.9255
45.0,2.5264,2.3186,0.9209,0.9249
46.0,2.5261,2.3183,0.9187,0.923
47.0,2.526,2.3182,0.9181,0.9219
48.0,2.5258,2.318,0.9179,0.9217
49.0,2.5256,2.3178,0.9176,0.921
50.0,2.5254,2.3176,0.918,0.9219
51.0,2.5252,2.3175,0.9184,0.9225
52.0,2.525,2.3173,0.9179,0.9218
53.0,2.5248,2.317,0.9165,0.9199
54.0,2.5246,2.3168,0.9161,0.9195
55.0,2.5245,2.3167,0.9156,0.9187
