iteration,C_train,C_test,train_error,test_error
135.0,2.4179,2.2104,0.8534,0.8526
136.0,2.4171,2.2096,0.8505,0.8498
137.0,2.4164,2.2089,0.8505,0.8495
138.0,2.4157,2.2082,0.8472,0.8455
139.0,2.4149,2.2074,0.842,0.8419
140.0,2.4142,2.2067,0.8391,0.8404
141.0,2.4135,2.206,0.8364,0.8379
142.0,2.4128,2.2053,0.8352,0.8372
143.0,2.412,2.2045,0.8298,0.8309
144.0,2.4113,2.2038,0.8296,0.8311
145.0,2.4107,2.2032,0.8293,0.8303
146.0,2.4099,2.2024,0.8289,0.8295
147.0,2.4092,2.2016,0.8268,0.8277
148.0,2.4085,2.201,0.825,0.8257
149.0,2.4078,2.2003,0.8236,0.8247
150.0,2.4071,2.1995,0.8185,0.8183
151.0,2.4064,2.1988,0.8152,0.8156
152.0,2.4056,2.1981,0.8123,0.8119
153.0,2.4049,2.1974,0.8104,0.8112
154.0,2.404,2.1965,0.805,0.804
155.0,2.4033,2.1958,0.8043,0.8022
156.0,2.4025,2.1949,0.8014,0.8
157.0,2.4017,2.1942,0.7955,0.7948
158.0,2.401,2.1934,0.794,0.7946
159.0,2.4002,2.1927,0.7913,0.7904
160.0,2.3995,2.1919,0.7891,0.7882
161.0,2.3986,2.1911,0.7869,0.7857
162.0,2.3978,2.1902,0.783,0.7826
163.0,2.3969,2.1894,0.781,0.7805
164.0,2.3961,2.1885,0.7787,0.7791
165.0,2.3952,2.1877,0.7765,0.776
166.0,2.3945,2.1869,0.7749,0.7738
167.0,2.3937,2.1861,0.7723,0.7715
168.0,2.3929,2.1853,0.7667,0.7658
169.0,2.3921,2.1845,0.7603,0.7597
170.0,2.3912,2.1836,0.7568,0.7543
171.0,2.3904,2.1829,0.7532,0.7513
172.0,2.3896,2.182,0.7509,0.7492
173.0,2.3887,2.1811,0.7484,0.7469
174.0,2.3879,2.1803,0.7442,0.7439
175.0,2.387,2.1794,0.7409,0.7397
176.0,2.3862,2.1786,0.7367,0.7344
177.0,2.3854,2.1778,0.7345,0.7319
178.0,2.3847,2.1771,0.7355,0.7326
179.0,2.3838,2.1763,0.7313,0.7299
180.0,2.3829,2.1754,0.727,0.7244
181.0,2.382,2.1744,0.7222,0.7182
182.0,2.3811,2.1736,0.7194,0.7144
183.0,2.3802,2.1727,0.7193,0.7144
184.0,2.3793,2.1718,0.7171,0.7125
185.0,2.3784,2.1709,0.7136,0.7087
186.0,2.3775,2.1699,0.7068,0.7017
187.0,2.3766,2.169,0.7054,0.7023
188.0,2.3757,2.1681,0.7051,0.6998
189.0,2.3749,2.1673,0.7071,0.7014
190.0,2.3741,2.1664,0.7059,0.7001
191.0,2.3732,2.1656,0.7063,0.7
192.0,2.3724,2.1648,0.7052,0.6989
193.0,2.3715,2.1639,0.7012,0.6935
194.0,2.3706,2.163,0.7002,0.6928
195.0,2.3697,2.1621,0.6985,0.6913
196.0,2.3688,2.1612,0.6969,0.6901
197.0,2.368,2.1604,0.6953,0.6883
198.0,2.367,2.1594,0.691,0.6829
199.0,2.3662,2.1585,0.6925,0.6852
200.0,2.3652,2.1575,0.6875,0.6804
201.0,2.3644,2.1567,0.6833,0.6755
202.0,2.3634,2.1557,0.6779,0.6701
203.0,2.3625,2.1549,0.6771,0.6708
204.0,2.3615,2.1539,0.6666,0.6606
205.0,2.3605,2.1529,0.6608,0.6552
206.0,2.3596,2.152,0.659,0.6532
207.0,2.3587,2.1511,0.6567,0.6511
208.0,2.3579,2.1502,0.6562,0.6511
209.0,2.357,2.1493,0.6575,0.6528
210.0,2.3561,2.1484,0.659,0.6553
211.0,2.3552,2.1474,0.6594,0.6556
212.0,2.3543,2.1465,0.6563,0.6528
213.0,2.3534,2.1456,0.6564,0.6527
214.0,2.3524,2.1447,0.6514,0.6476
215.0,2.3515,2.1437,0.6518,0.6486
216.0,2.3505,2.1427,0.6499,0.6457
217.0,2.3496,2.1418,0.6501,0.6461
218.0,2.3487,2.1408,0.6499,0.6447
219.0,2.3478,2.1399,0.6519,0.6475
220.0,2.3467,2.1388,0.6415,0.638
221.0,2.3458,2.1379,0.6401,0.637
222.0,2.3447,2.1368,0.6345,0.6329
223.0,2.3437,2.1358,0.6414,0.6365
224.0,2.3428,2.1349,0.6431,0.6381
225.0,2.3418,2.1339,0.6414,0.6372
226.0,2.3408,2.1329,0.6408,0.6369
227.0,2.3399,2.1319,0.6427,0.6378
228.0,2.339,2.131,0.6486,0.6428
229.0,2.3379,2.1299,0.6444,0.6396
230.0,2.3369,2.1289,0.639,0.6359
231.0,2.3359,2.1279,0.6395,0.6351
232.0,2.3349,2.1268,0.6369,0.6341
233.0,2.3338,2.1258,0.6334,0.631
234.0,2.3328,2.1247,0.6337,0.6312
235.0,2.3317,2.1236,0.6316,0.6294
236.0,2.3307,2.1226,0.6256,0.625
237.0,2.3296,2.1216,0.622,0.622
238.0,2.3286,2.1205,0.622,0.6214
239.0,2.3275,2.1195,0.6193,0.618
240.0,2.3265,2.1185,0.6152,0.6151
241.0,2.3253,2.1173,0.6095,0.6085
242.0,2.3242,2.1162,0.6095,0.6081
243.0,2.3232,2.1151,0.605,0.6044
244.0,2.3221,2.1141,0.6037,0.6031
245.0,2.321,2.113,0.5999,0.5998
246.0,2.3201,2.112,0.6066,0.6058
247.0,2.3191,2.111,0.6057,0.6062
248.0,2.318,2.1098,0.6065,0.6071
249.0,2.3169,2.1087,0.6056,0.6067
250.0,2.3157,2.1075,0.6016,0.6033
251.0,2.3147,2.1066,0.6019,0.603
252.0,2.3137,2.1056,0.6016,0.6022
253.0,2.3126,2.1044,0.5971,0.5981
254.0,2.3114,2.1032,0.5985,0.5996
255.0,2.3104,2.1021,0.5994,0.6006
256.0,2.3093,2.1011,0.5954,0.5958
257.0,2.3082,2.0999,0.5981,0.6008
258.0,2.3069,2.0986,0.5957,0.5978
259.0,2.3058,2.0974,0.5965,0.5988
260.0,2.3046,2.0963,0.5922,0.5945
261.0,2.3035,2.0951,0.5915,0.5945
262.0,2.3023,2.094,0.5926,0.595
263.0,2.3014,2.093,0.5943,0.595
264.0,2.3001,2.0917,0.5924,0.5941
265.0,2.299,2.0906,0.5865,0.5891
266.0,2.2978,2.0894,0.5895,0.5913
267.0,2.2967,2.0883,0.5877,0.5917
268.0,2.2957,2.0872,0.5877,0.5912
269.0,2.2945,2.086,0.5869,0.5902
270.0,2.2934,2.0849,0.5891,0.5918
271.0,2.2923,2.0837,0.5848,0.5877
272.0,2.291,2.0825,0.5849,0.5865
273.0,2.2899,2.0813,0.5809,0.5823
274.0,2.2887,2.0801,0.5813,0.584
275.0,2.2876,2.079,0.5794,0.5817
276.0,2.2862,2.0776,0.5781,0.5792
277.0,2.2849,2.0763,0.579,0.5797
278.0,2.2836,2.075,0.5771,0.5781
279.0,2.2823,2.0736,0.5748,0.5764
280.0,2.2812,2.0725,0.5736,0.5759
281.0,2.2799,2.0712,0.5735,0.5749
282.0,2.2787,2.07,0.5746,0.576
283.0,2.2774,2.0687,0.5766,0.5796
284.0,2.276,2.0672,0.5755,0.5774
285.0,2.2747,2.066,0.5692,0.571
286.0,2.2735,2.0647,0.5668,0.5677
287.0,2.2721,2.0634,0.5673,0.5689
288.0,2.271,2.0622,0.5739,0.5745
289.0,2.2697,2.0609,0.5734,0.5745
290.0,2.2684,2.0596,0.5726,0.5729
291.0,2.2671,2.0583,0.5721,0.5736
292.0,2.2658,2.0569,0.5696,0.5714
293.0,2.2645,2.0556,0.5698,0.5715
294.0,2.2633,2.0544,0.5655,0.5678
295.0,2.262,2.0531,0.5587,0.562
296.0,2.2607,2.0518,0.5621,0.5644
297.0,2.2594,2.0504,0.557,0.5597
298.0,2.258,2.049,0.5588,0.5617
299.0,2.2567,2.0477,0.5573,0.5605
300.0,2.2555,2.0464,0.5576,0.5613
301.0,2.2542,2.0451,0.5537,0.5571
302.0,2.2526,2.0436,0.548,0.5528
303.0,2.2511,2.0421,0.5469,0.5508
304.0,2.2498,2.0408,0.5438,0.549
305.0,2.2485,2.0393,0.5431,0.5477
306.0,2.247,2.0379,0.5447,0.5489
307.0,2.2457,2.0365,0.5426,0.5469
308.0,2.2444,2.0352,0.5451,0.5497
309.0,2.2429,2.0337,0.5438,0.5481
310.0,2.2415,2.0323,0.5449,0.5483
311.0,2.2399,2.0306,0.5464,0.5499
312.0,2.2384,2.0291,0.5429,0.548
313.0,2.237,2.0277,0.5445,0.5485
314.0,2.2355,2.0262,0.5419,0.5462
315.0,2.2341,2.0248,0.541,0.5456
316.0,2.2326,2.0233,0.5369,0.5406
317.0,2.2311,2.0217,0.5392,0.5436
318.0,2.2296,2.0202,0.5362,0.5401
319.0,2.2282,2.0188,0.5319,0.5362
320.0,2.2267,2.0172,0.534,0.5373
321.0,2.2251,2.0157,0.5338,0.538
322.0,2.2239,2.0144,0.5343,0.5369
323.0,2.2225,2.0129,0.5335,0.537
324.0,2.221,2.0114,0.5296,0.5328
325.0,2.2196,2.0099,0.5324,0.536
326.0,2.218,2.0083,0.5293,0.533
327.0,2.2164,2.0067,0.5256,0.5291
328.0,2.2147,2.005,0.5241,0.5266
329.0,2.2132,2.0034,0.526,0.529
330.0,2.2118,2.002,0.5262,0.529
331.0,2.2105,2.0007,0.5267,0.529
332.0,2.2089,1.999,0.5232,0.5261
333.0,2.2073,1.9974,0.5228,0.5259
334.0,2.2059,1.996,0.5266,0.5297
335.0,2.2043,1.9944,0.5283,0.5313
336.0,2.2027,1.9927,0.522,0.5243
337.0,2.2011,1.9912,0.519,0.5206
338.0,2.1996,1.9896,0.5167,0.5177
339.0,2.198,1.988,0.5172,0.5187
340.0,2.1963,1.9863,0.5193,0.5202
341.0,2.1949,1.9848,0.518,0.5196
342.0,2.1933,1.9832,0.5172,0.5189
343.0,2.1919,1.9816,0.5191,0.5212
344.0,2.1903,1.98,0.5182,0.5203
345.0,2.1889,1.9786,0.5162,0.5184
346.0,2.1871,1.9768,0.5105,0.5135
347.0,2.1854,1.975,0.5109,0.5137
348.0,2.1838,1.9735,0.507,0.5106
349.0,2.182,1.9716,0.505,0.5061
350.0,2.1803,1.9699,0.5068,0.5083
351.0,2.1786,1.9682,0.5072,0.509
352.0,2.177,1.9665,0.5045,0.5056
353.0,2.1752,1.9647,0.5019,0.5033
354.0,2.1734,1.9629,0.5035,0.5043
355.0,2.1717,1.9612,0.5069,0.5072
356.0,2.1701,1.9595,0.5077,0.5083
357.0,2.1683,1.9577,0.5059,0.5058
358.0,2.1664,1.9557,0.5056,0.5056
359.0,2.1646,1.9539,0.505,0.5051
360.0,2.1629,1.9521,0.5066,0.5069
361.0,2.1613,1.9505,0.5066,0.5066
362.0,2.1595,1.9487,0.5058,0.5067
363.0,2.1576,1.9468,0.5031,0.5033
364.0,2.1557,1.9448,0.5003,0.5006
365.0,2.1539,1.943,0.5062,0.5071
366.0,2.1521,1.9412,0.5053,0.507
367.0,2.1505,1.9395,0.5034,0.5042
368.0,2.1488,1.9378,0.5041,0.5044
369.0,2.1469,1.9359,0.5041,0.505
370.0,2.1453,1.9342,0.5055,0.5059
371.0,2.1433,1.9322,0.5048,0.5049
372.0,2.1414,1.9303,0.5045,0.5048
373.0,2.1395,1.9283,0.5067,0.5078
374.0,2.1377,1.9264,0.5062,0.5075
375.0,2.136,1.9247,0.5021,0.5034
376.0,2.1343,1.9229,0.5024,0.5037
377.0,2.1324,1.921,0.5026,0.5033
378.0,2.1305,1.9191,0.5033,0.5051
379.0,2.1286,1.9171,0.5034,0.506
380.0,2.1267,1.9152,0.5049,0.5069
381.0,2.1248,1.9132,0.5027,0.5046
382.0,2.1228,1.9111,0.504,0.5059
383.0,2.1208,1.9091,0.5026,0.5047
384.0,2.119,1.9072,0.502,0.503
385.0,2.1172,1.9054,0.5042,0.5054
386.0,2.1153,1.9034,0.506,0.5074
387.0,2.1137,1.9017,0.5044,0.5066
388.0,2.1119,1.8999,0.504,0.5061
389.0,2.1099,1.8978,0.5056,0.5078
390.0,2.1082,1.896,0.509,0.5111
391.0,2.1064,1.8942,0.5062,0.5075
392.0,2.1045,1.8922,0.5074,0.5093
393.0,2.1026,1.8902,0.5103,0.5132
394.0,2.1011,1.8886,0.5141,0.5179
395.0,2.0989,1.8864,0.5093,0.5118
396.0,2.097,1.8845,0.5091,0.5111
397.0,2.0951,1.8825,0.5097,0.5124
398.0,2.0932,1.8807,0.5057,0.5069
399.0,2.0914,1.8788,0.5029,0.5047
400.0,2.0896,1.8769,0.5041,0.5067
401.0,2.0876,1.8749,0.5005,0.5015
402.0,2.0857,1.8729,0.502,0.5044
403.0,2.0837,1.8709,0.5014,0.5038
404.0,2.0819,1.869,0.5022,0.5043
405.0,2.0799,1.8669,0.4985,0.501
406.0,2.0779,1.8648,0.4997,0.5018
407.0,2.076,1.8629,0.4985,0.5
408.0,2.0742,1.8609,0.4973,0.499
409.0,2.0723,1.859,0.4975,0.4998
410.0,2.0707,1.8573,0.4968,0.4988
411.0,2.0687,1.8553,0.4948,0.496
412.0,2.0668,1.8534,0.495,0.4952
413.0,2.0648,1.8513,0.4907,0.4927
414.0,2.0628,1.8492,0.4911,0.4927
415.0,2.0609,1.8473,0.489,0.491
416.0,2.059,1.8453,0.4887,0.49
417.0,2.0573,1.8436,0.4893,0.4904
418.0,2.0554,1.8416,0.487,0.489
419.0,2.0537,1.8398,0.4906,0.4917
420.0,2.0517,1.8377,0.4901,0.4916
421.0,2.0496,1.8356,0.4881,0.4892
422.0,2.0478,1.8337,0.4859,0.4878
423.0,2.0456,1.8315,0.4843,0.4857
424.0,2.0437,1.8295,0.4856,0.4874
425.0,2.0418,1.8275,0.4843,0.484
426.0,2.0397,1.8254,0.4841,0.4839
427.0,2.0378,1.8233,0.4833,0.4836
428.0,2.0358,1.8213,0.4814,0.4833
429.0,2.0339,1.8193,0.4801,0.4823
430.0,2.032,1.8173,0.4798,0.4812
431.0,2.0302,1.8154,0.48,0.4818
432.0,2.028,1.8131,0.4814,0.4828
433.0,2.0261,1.8112,0.4804,0.4825
434.0,2.0244,1.8094,0.4811,0.483
435.0,2.0224,1.8073,0.477,0.4788
436.0,2.0203,1.8052,0.4766,0.4781
437.0,2.0183,1.8031,0.4778,0.4794
438.0,2.016,1.8008,0.4777,0.4791
439.0,2.0142,1.7988,0.4799,0.4832
440.0,2.0122,1.7967,0.48,0.4818
441.0,2.0105,1.7949,0.4785,0.482
442.0,2.0084,1.7928,0.4773,0.4789
443.0,2.0064,1.7907,0.4761,0.4782
444.0,2.0049,1.789,0.477,0.4796
445.0,2.003,1.7871,0.4806,0.4825
446.0,2.001,1.785,0.4771,0.4797
447.0,1.9988,1.7828,0.4762,0.4779
448.0,1.9969,1.7808,0.4748,0.4766
449.0,1.9951,1.7789,0.4751,0.4754
450.0,1.993,1.7767,0.4747,0.4766
451.0,1.9908,1.7744,0.4751,0.4785
452.0,1.9886,1.7721,0.4738,0.4761
453.0,1.9865,1.7699,0.4717,0.473
454.0,1.9846,1.7679,0.4715,0.4726
455.0,1.9825,1.7657,0.4729,0.4737
456.0,1.9803,1.7634,0.4715,0.4711
457.0,1.9783,1.7613,0.4732,0.473
458.0,1.976,1.759,0.4734,0.4734
459.0,1.9739,1.7568,0.4729,0.4736
460.0,1.9721,1.7549,0.4726,0.4717
461.0,1.9699,1.7525,0.4719,0.4709
462.0,1.9679,1.7505,0.4716,0.4708
463.0,1.9659,1.7484,0.4714,0.4708
464.0,1.9638,1.7462,0.4708,0.4709
465.0,1.9618,1.7441,0.4704,0.4702
466.0,1.9599,1.7421,0.4692,0.4692
467.0,1.9579,1.74,0.4693,0.4703
468.0,1.9562,1.7382,0.4685,0.4699
469.0,1.9543,1.7363,0.4679,0.4689
470.0,1.9523,1.7341,0.4676,0.4686
471.0,1.95,1.7317,0.4681,0.4684
472.0,1.9478,1.7294,0.4669,0.4678
473.0,1.9459,1.7274,0.467,0.4678
474.0,1.9439,1.7253,0.4661,0.4664
475.0,1.9421,1.7234,0.4661,0.4673
476.0,1.9402,1.7213,0.4651,0.4663
477.0,1.9383,1.7194,0.4684,0.4682
478.0,1.9365,1.7175,0.4686,0.4699
479.0,1.9345,1.7154,0.4673,0.4692
480.0,1.9324,1.7131,0.4677,0.4688
481.0,1.9302,1.7108,0.4667,0.4681
482.0,1.9281,1.7086,0.466,0.4674
483.0,1.926,1.7064,0.4659,0.4672
484.0,1.924,1.7043,0.4657,0.4669
485.0,1.9219,1.7021,0.466,0.4672
486.0,1.9199,1.6999,0.4665,0.4678
487.0,1.9176,1.6976,0.4661,0.4665
488.0,1.9155,1.6954,0.4659,0.4673
489.0,1.9137,1.6934,0.4651,0.4658
490.0,1.9117,1.6913,0.4643,0.4655
491.0,1.9096,1.6891,0.4643,0.4654
492.0,1.9076,1.687,0.4642,0.466
493.0,1.9057,1.685,0.4622,0.4637
494.0,1.9038,1.683,0.4624,0.4644
495.0,1.9017,1.6808,0.4626,0.4637
496.0,1.8996,1.6786,0.4621,0.4637
497.0,1.8978,1.6767,0.4632,0.4653
498.0,1.896,1.6747,0.463,0.4655
499.0,1.894,1.6727,0.4621,0.4648
