iteration,C_train,C_test,train_error,test_error
1.0,2.5041,2.2965,0.8885,0.8914
2.0,2.503,2.2954,0.8888,0.8911
3.0,2.5021,2.2946,0.8899,0.8916
4.0,2.5014,2.2938,0.888,0.8906
5.0,2.5005,2.293,0.8882,0.8905
6.0,2.4996,2.292,0.8876,0.8896
7.0,2.4986,2.2911,0.8892,0.8908
8.0,2.4977,2.2902,0.8898,0.8922
9.0,2.4969,2.2894,0.8896,0.8923
10.0,2.4962,2.2887,0.8877,0.8899
11.0,2.4953,2.2878,0.8877,0.8897
12.0,2.4945,2.287,0.8885,0.8899
13.0,2.4937,2.2862,0.8882,0.8904
14.0,2.4929,2.2854,0.8882,0.8903
15.0,2.4921,2.2846,0.8876,0.8896
16.0,2.4912,2.2837,0.8882,0.8901
17.0,2.4903,2.2828,0.8874,0.8891
18.0,2.4895,2.282,0.8884,0.8902
19.0,2.4886,2.2812,0.8892,0.8907
20.0,2.4878,2.2804,0.8898,0.8907
21.0,2.487,2.2796,0.8899,0.8908
22.0,2.4861,2.2787,0.8895,0.8903
23.0,2.4851,2.2777,0.8895,0.8899
24.0,2.4843,2.2769,0.8883,0.8892
25.0,2.4834,2.2761,0.8864,0.8879
26.0,2.4824,2.275,0.8863,0.8874
27.0,2.4813,2.274,0.8856,0.8873
28.0,2.4805,2.2731,0.8847,0.8872
29.0,2.4796,2.2722,0.8843,0.8863
30.0,2.4788,2.2715,0.8826,0.8851
31.0,2.478,2.2706,0.8819,0.8852
32.0,2.477,2.2697,0.8814,0.8846
33.0,2.4762,2.2689,0.8788,0.8826
34.0,2.4754,2.2681,0.8784,0.8823
35.0,2.4745,2.2672,0.8787,0.8821
36.0,2.4737,2.2664,0.8764,0.8803
37.0,2.4728,2.2655,0.8738,0.8768
38.0,2.4719,2.2646,0.8722,0.8756
39.0,2.4711,2.2638,0.8692,0.8712
40.0,2.4702,2.263,0.8655,0.8673
41.0,2.4694,2.2621,0.866,0.8681
42.0,2.4686,2.2613,0.8666,0.8686
43.0,2.4678,2.2606,0.8655,0.8683
44.0,2.4671,2.2598,0.863,0.8658
45.0,2.4663,2.259,0.86,0.8632
46.0,2.4656,2.2583,0.8595,0.8631
47.0,2.4646,2.2574,0.8559,0.8594
48.0,2.4639,2.2567,0.8531,0.8553
49.0,2.4632,2.2559,0.8502,0.8536
50.0,2.4623,2.2551,0.8508,0.8543
51.0,2.4614,2.2542,0.8474,0.8515
52.0,2.4605,2.2533,0.8421,0.8469
53.0,2.4596,2.2524,0.839,0.8422
54.0,2.4587,2.2515,0.8388,0.8413
55.0,2.4579,2.2507,0.8359,0.839
56.0,2.457,2.2498,0.8334,0.8359
57.0,2.456,2.2489,0.8258,0.8285
58.0,2.4552,2.248,0.8208,0.8246
59.0,2.4543,2.2471,0.8225,0.826
60.0,2.4534,2.2462,0.8231,0.8272
61.0,2.4527,2.2455,0.8181,0.8225
62.0,2.4518,2.2447,0.8144,0.8183
63.0,2.4509,2.2437,0.8181,0.8225
64.0,2.4503,2.2431,0.82,0.8243
65.0,2.4494,2.2422,0.8159,0.8203
66.0,2.4484,2.2412,0.8097,0.8117
67.0,2.4475,2.2403,0.8115,0.8154
68.0,2.4466,2.2394,0.7954,0.7982
69.0,2.4458,2.2386,0.7913,0.7945
70.0,2.445,2.2379,0.7989,0.7992
71.0,2.4441,2.237,0.8048,0.8067
72.0,2.4432,2.2361,0.7983,0.7996
73.0,2.4423,2.2352,0.7949,0.7958
74.0,2.4415,2.2344,0.7946,0.7968
75.0,2.4407,2.2336,0.8012,0.8026
76.0,2.44,2.2328,0.7954,0.7974
77.0,2.4391,2.2319,0.7979,0.8
78.0,2.4381,2.2309,0.7997,0.8019
79.0,2.4373,2.2301,0.7925,0.795
80.0,2.4364,2.2292,0.79,0.7925
81.0,2.4356,2.2284,0.7757,0.7796
82.0,2.4348,2.2276,0.772,0.7752
83.0,2.4339,2.2268,0.7774,0.7815
84.0,2.4331,2.2259,0.7726,0.7766
85.0,2.4322,2.225,0.7723,0.7772
86.0,2.4312,2.2241,0.7703,0.7754
87.0,2.4302,2.2231,0.763,0.767
88.0,2.4293,2.2221,0.7614,0.7643
89.0,2.4285,2.2213,0.7611,0.7632
90.0,2.4276,2.2205,0.7627,0.7661
91.0,2.4267,2.2195,0.7585,0.7623
92.0,2.4258,2.2186,0.7523,0.758
93.0,2.4248,2.2177,0.7498,0.7555
94.0,2.424,2.2168,0.7533,0.7579
95.0,2.423,2.2159,0.747,0.7511
96.0,2.422,2.2149,0.7429,0.7475
97.0,2.4212,2.214,0.7499,0.7539
98.0,2.42,2.2129,0.74,0.7448
99.0,2.4192,2.212,0.7468,0.7523
100.0,2.4182,2.211,0.7445,0.7502
101.0,2.4172,2.21,0.7337,0.7389
102.0,2.4162,2.209,0.7282,0.7332
103.0,2.4152,2.208,0.7232,0.728
104.0,2.4142,2.207,0.7035,0.7109
105.0,2.4132,2.206,0.6884,0.6949
106.0,2.4122,2.205,0.6825,0.6932
107.0,2.4112,2.2041,0.6756,0.6835
108.0,2.4102,2.203,0.6723,0.6786
109.0,2.409,2.2019,0.654,0.6593
110.0,2.408,2.2009,0.6548,0.6604
111.0,2.4071,2.1999,0.6556,0.6605
112.0,2.406,2.1988,0.6396,0.6433
113.0,2.405,2.1979,0.6407,0.6448
114.0,2.404,2.1968,0.6483,0.6518
115.0,2.403,2.1958,0.6455,0.6484
116.0,2.4021,2.1949,0.6452,0.6496
117.0,2.401,2.1938,0.6459,0.649
118.0,2.4,2.1927,0.65,0.6534
119.0,2.399,2.1918,0.6561,0.6607
120.0,2.3981,2.1909,0.6538,0.6582
121.0,2.3971,2.1898,0.6524,0.6568
122.0,2.396,2.1888,0.6423,0.6473
123.0,2.3949,2.1876,0.6349,0.6413
124.0,2.394,2.1867,0.6432,0.6494
125.0,2.393,2.1857,0.6415,0.6497
126.0,2.3919,2.1847,0.6315,0.6383
127.0,2.3908,2.1835,0.6184,0.6267
128.0,2.3898,2.1825,0.6102,0.6168
129.0,2.3888,2.1815,0.6086,0.6137
130.0,2.3877,2.1805,0.6077,0.6132
131.0,2.3868,2.1795,0.612,0.6193
132.0,2.3858,2.1785,0.5995,0.6048
133.0,2.3846,2.1774,0.5936,0.5985
134.0,2.3835,2.1763,0.588,0.5926
135.0,2.3825,2.1752,0.5885,0.5936
136.0,2.3814,2.1741,0.5822,0.5853
137.0,2.3803,2.1731,0.5755,0.5788
138.0,2.3792,2.1719,0.5718,0.5763
139.0,2.3781,2.1708,0.5743,0.5768
140.0,2.3771,2.1698,0.5703,0.5723
141.0,2.376,2.1687,0.565,0.5682
142.0,2.3748,2.1675,0.5546,0.5606
143.0,2.3738,2.1665,0.5572,0.5628
144.0,2.3727,2.1654,0.5584,0.5629
145.0,2.3715,2.1642,0.5524,0.5573
146.0,2.3703,2.163,0.5473,0.5506
147.0,2.3692,2.1619,0.5471,0.5504
148.0,2.368,2.1607,0.5471,0.5508
149.0,2.367,2.1597,0.5479,0.5523
150.0,2.3659,2.1585,0.5514,0.5535
151.0,2.3648,2.1575,0.5488,0.5514
152.0,2.3636,2.1562,0.544,0.5477
153.0,2.3624,2.1551,0.5475,0.5511
154.0,2.3614,2.154,0.5483,0.5526
155.0,2.3604,2.153,0.5521,0.5546
156.0,2.3592,2.1518,0.5547,0.5569
157.0,2.3581,2.1507,0.5483,0.5525
158.0,2.357,2.1495,0.5437,0.5464
159.0,2.3557,2.1482,0.5383,0.5406
160.0,2.3544,2.147,0.5339,0.5357
161.0,2.3533,2.1459,0.537,0.5394
162.0,2.352,2.1446,0.529,0.5312
163.0,2.351,2.1435,0.5295,0.5322
164.0,2.3499,2.1424,0.5284,0.5311
165.0,2.3488,2.1413,0.5289,0.5317
166.0,2.3477,2.1402,0.5316,0.5346
167.0,2.3463,2.1388,0.5281,0.5291
168.0,2.3451,2.1376,0.5214,0.5215
169.0,2.3439,2.1364,0.5242,0.5252
170.0,2.3428,2.1352,0.521,0.5209
171.0,2.3416,2.1341,0.517,0.5171
172.0,2.3404,2.1328,0.5141,0.5165
173.0,2.3392,2.1316,0.5118,0.513
174.0,2.3379,2.1303,0.5107,0.5117
175.0,2.3367,2.1291,0.5101,0.5119
176.0,2.3355,2.128,0.5074,0.5094
177.0,2.3343,2.1267,0.5038,0.505
178.0,2.3329,2.1253,0.5022,0.5059
179.0,2.3318,2.1242,0.5023,0.5062
180.0,2.3304,2.1228,0.4997,0.5031
181.0,2.3293,2.1217,0.4958,0.4985
182.0,2.328,2.1204,0.4934,0.4976
183.0,2.3267,2.1191,0.4915,0.4957
184.0,2.3255,2.1178,0.4919,0.4943
185.0,2.3241,2.1165,0.4902,0.4947
186.0,2.3228,2.1151,0.4909,0.4967
187.0,2.3216,2.1139,0.491,0.4968
188.0,2.3203,2.1126,0.4936,0.4982
189.0,2.3191,2.1114,0.4946,0.5
190.0,2.3177,2.11,0.4923,0.499
191.0,2.3165,2.1087,0.4916,0.4992
192.0,2.3151,2.1073,0.4958,0.502
193.0,2.3136,2.1059,0.4881,0.4938
194.0,2.3124,2.1047,0.4876,0.4919
195.0,2.311,2.1033,0.4889,0.4939
196.0,2.3097,2.102,0.4864,0.4928
197.0,2.3083,2.1005,0.4882,0.4935
198.0,2.3068,2.0991,0.4808,0.4879
199.0,2.3055,2.0978,0.4771,0.4831
200.0,2.3042,2.0965,0.4757,0.4826
201.0,2.303,2.0952,0.4745,0.4799
202.0,2.3018,2.094,0.4756,0.4809
203.0,2.3003,2.0925,0.4722,0.4779
204.0,2.2989,2.0911,0.4698,0.4768
205.0,2.2975,2.0897,0.4725,0.4784
206.0,2.296,2.0882,0.4655,0.4708
207.0,2.2946,2.0868,0.461,0.4669
208.0,2.2931,2.0853,0.458,0.4644
209.0,2.2919,2.084,0.4627,0.4695
210.0,2.2904,2.0826,0.4608,0.4667
211.0,2.289,2.0812,0.4625,0.4689
212.0,2.2877,2.0798,0.461,0.4674
213.0,2.2862,2.0783,0.4579,0.4638
214.0,2.2849,2.0769,0.4583,0.4642
215.0,2.2838,2.0758,0.4584,0.4662
216.0,2.2824,2.0744,0.4562,0.4624
217.0,2.2808,2.0728,0.4548,0.4624
218.0,2.2794,2.0713,0.4549,0.4608
219.0,2.2779,2.0699,0.4515,0.4578
220.0,2.2765,2.0684,0.4494,0.4556
221.0,2.2751,2.0671,0.4486,0.4547
222.0,2.2736,2.0656,0.4485,0.4568
223.0,2.2722,2.0641,0.4462,0.4556
224.0,2.271,2.0629,0.4492,0.4582
225.0,2.2695,2.0614,0.4467,0.4544
226.0,2.2679,2.0598,0.4446,0.4546
227.0,2.2663,2.0582,0.4398,0.451
228.0,2.2648,2.0567,0.4449,0.4522
229.0,2.2633,2.0551,0.4425,0.4494
230.0,2.2616,2.0535,0.4394,0.4462
231.0,2.2599,2.0518,0.4368,0.4452
232.0,2.2584,2.0502,0.4353,0.4445
233.0,2.2567,2.0485,0.4362,0.4454
234.0,2.2553,2.0471,0.4378,0.4476
235.0,2.2536,2.0453,0.4359,0.4445
236.0,2.2522,2.0439,0.438,0.4449
237.0,2.2509,2.0425,0.4387,0.446
238.0,2.2494,2.0411,0.4381,0.4446
239.0,2.2477,2.0394,0.4392,0.4447
240.0,2.246,2.0376,0.4341,0.4419
241.0,2.2445,2.0361,0.4326,0.4418
242.0,2.243,2.0346,0.4317,0.4405
243.0,2.2413,2.0329,0.4303,0.4391
244.0,2.2396,2.0311,0.4299,0.4383
245.0,2.2381,2.0297,0.4303,0.4375
246.0,2.2364,2.0279,0.4281,0.4365
247.0,2.2349,2.0263,0.4275,0.4363
248.0,2.2331,2.0246,0.4273,0.437
249.0,2.2315,2.0229,0.4279,0.436
250.0,2.2296,2.021,0.429,0.4359
251.0,2.2278,2.0192,0.4264,0.4335
252.0,2.226,2.0175,0.4269,0.4328
253.0,2.2245,2.0159,0.4264,0.432
254.0,2.2228,2.0141,0.4276,0.434
255.0,2.221,2.0124,0.4257,0.4338
256.0,2.2193,2.0106,0.4275,0.4358
257.0,2.2175,2.0088,0.4286,0.4366
258.0,2.2157,2.007,0.4273,0.4368
259.0,2.2138,2.0051,0.4271,0.435
260.0,2.212,2.0033,0.4265,0.4344
261.0,2.2103,2.0016,0.4264,0.4338
262.0,2.2086,1.9998,0.4272,0.4347
