iteration,C_train,C_test,train_error,test_error
1.0,2.5105,2.3028,0.8946,0.8944
2.0,2.5097,2.302,0.8938,0.8939
3.0,2.509,2.3012,0.8936,0.8935
4.0,2.508,2.3003,0.8934,0.8932
5.0,2.507,2.2993,0.8931,0.8927
6.0,2.506,2.2983,0.8927,0.8932
7.0,2.5052,2.2975,0.8917,0.893
8.0,2.5045,2.2969,0.8905,0.8907
9.0,2.5035,2.2959,0.8886,0.8886
10.0,2.5028,2.2951,0.8869,0.887
11.0,2.502,2.2943,0.886,0.8852
12.0,2.5012,2.2936,0.8845,0.8837
13.0,2.5004,2.2928,0.8805,0.8795
14.0,2.4994,2.2917,0.8784,0.8774
15.0,2.4986,2.291,0.8756,0.8742
16.0,2.4979,2.2902,0.8734,0.8734
17.0,2.4972,2.2895,0.8674,0.8681
18.0,2.4962,2.2886,0.8658,0.866
19.0,2.4956,2.288,0.8596,0.8602
20.0,2.4947,2.2871,0.8571,0.8577
21.0,2.4938,2.2862,0.8538,0.854
22.0,2.493,2.2854,0.849,0.8482
23.0,2.4922,2.2846,0.8418,0.8437
24.0,2.4915,2.2839,0.837,0.8396
25.0,2.4908,2.2832,0.8331,0.8357
26.0,2.4901,2.2824,0.8272,0.8304
27.0,2.4891,2.2815,0.8287,0.8307
28.0,2.4882,2.2806,0.8229,0.8254
29.0,2.4872,2.2796,0.8238,0.8263
30.0,2.4864,2.2788,0.8206,0.8235
31.0,2.4857,2.2781,0.816,0.82
32.0,2.4849,2.2774,0.81,0.8146
33.0,2.4842,2.2766,0.8084,0.8122
34.0,2.4835,2.2759,0.8065,0.8096
35.0,2.4827,2.2751,0.8063,0.8098
36.0,2.4818,2.2742,0.803,0.8084
37.0,2.481,2.2734,0.8019,0.8073
38.0,2.4803,2.2727,0.8012,0.8062
39.0,2.4793,2.2718,0.8001,0.805
40.0,2.4785,2.271,0.7968,0.802
41.0,2.4778,2.2702,0.7905,0.7928
42.0,2.4768,2.2693,0.7894,0.7929
43.0,2.4761,2.2686,0.7875,0.7905
44.0,2.4754,2.2678,0.7853,0.7883
45.0,2.4746,2.2671,0.7824,0.7865
46.0,2.474,2.2664,0.7813,0.7856
47.0,2.4731,2.2655,0.7785,0.7839
48.0,2.4723,2.2647,0.7771,0.7829
49.0,2.4714,2.2638,0.7744,0.7811
50.0,2.4707,2.2631,0.7747,0.7815
51.0,2.4699,2.2623,0.7715,0.7772
52.0,2.4691,2.2615,0.7705,0.7727
53.0,2.4683,2.2607,0.7668,0.7698
54.0,2.4675,2.2599,0.7676,0.77
55.0,2.4667,2.2591,0.7646,0.7675
56.0,2.4659,2.2583,0.7682,0.7733
57.0,2.4651,2.2575,0.7635,0.7692
58.0,2.4641,2.2565,0.7608,0.7669
59.0,2.4633,2.2557,0.7588,0.766
60.0,2.4626,2.255,0.7616,0.7696
61.0,2.4617,2.2541,0.7563,0.7636
62.0,2.461,2.2534,0.7505,0.7582
63.0,2.4601,2.2525,0.7466,0.7534
64.0,2.4592,2.2516,0.7489,0.7557
65.0,2.4583,2.2507,0.746,0.7525
66.0,2.4575,2.2499,0.7423,0.7485
