iteration,C_train,C_test,train_error,test_error
1.0,2.5074,2.2998,0.9035,0.9018
2.0,2.5069,2.2994,0.9029,0.9012
3.0,2.5065,2.299,0.9019,0.9012
4.0,2.5062,2.2987,0.9014,0.9012
5.0,2.5058,2.2983,0.8996,0.9002
6.0,2.5055,2.298,0.8993,0.8995
7.0,2.5048,2.2974,0.8974,0.8965
8.0,2.5045,2.297,0.8968,0.8957
9.0,2.504,2.2966,0.896,0.894
10.0,2.5036,2.2962,0.8945,0.8921
11.0,2.5033,2.2959,0.8929,0.8901
12.0,2.5029,2.2955,0.8916,0.8891
13.0,2.5026,2.2952,0.8915,0.8898
14.0,2.5022,2.2948,0.8897,0.8878
15.0,2.5018,2.2944,0.8902,0.8888
16.0,2.5015,2.2941,0.8896,0.887
17.0,2.5011,2.2937,0.8876,0.8857
18.0,2.5007,2.2934,0.8834,0.8826
19.0,2.5003,2.2929,0.8805,0.8804
20.0,2.5,2.2926,0.8819,0.881
21.0,2.4997,2.2923,0.8828,0.8824
22.0,2.4994,2.292,0.8817,0.8815
23.0,2.4991,2.2917,0.881,0.8805
24.0,2.4987,2.2914,0.8806,0.8797
25.0,2.4984,2.291,0.8809,0.88
26.0,2.4981,2.2907,0.8824,0.8807
27.0,2.4977,2.2903,0.8792,0.8787
28.0,2.4973,2.29,0.8762,0.8758
29.0,2.497,2.2896,0.8748,0.8745
30.0,2.4966,2.2893,0.8725,0.8729
31.0,2.4963,2.2889,0.8705,0.8695
32.0,2.4959,2.2886,0.87,0.8696
33.0,2.4956,2.2883,0.8724,0.8717
34.0,2.4952,2.2878,0.8721,0.8709
35.0,2.4949,2.2875,0.8693,0.8679
36.0,2.4945,2.2871,0.8666,0.8652
37.0,2.4941,2.2867,0.8641,0.8634
38.0,2.4937,2.2863,0.8616,0.8609
39.0,2.4933,2.286,0.861,0.8587
40.0,2.493,2.2857,0.8636,0.8623
41.0,2.4926,2.2853,0.8596,0.8581
42.0,2.4921,2.2848,0.8558,0.8551
43.0,2.4918,2.2845,0.8562,0.8556
44.0,2.4915,2.2842,0.8549,0.8536
45.0,2.4911,2.2838,0.8492,0.8482
46.0,2.4908,2.2835,0.8516,0.8507
47.0,2.4905,2.2832,0.8514,0.8509
48.0,2.4901,2.2828,0.8514,0.8502
49.0,2.4898,2.2825,0.8498,0.8483
50.0,2.4895,2.2822,0.8492,0.8477
51.0,2.4892,2.2819,0.8496,0.8483
52.0,2.489,2.2816,0.8528,0.8516
53.0,2.4887,2.2814,0.8514,0.8503
54.0,2.4884,2.281,0.852,0.8507
55.0,2.488,2.2807,0.851,0.8488
56.0,2.4878,2.2804,0.8515,0.8503
57.0,2.4874,2.2801,0.8511,0.8502
58.0,2.4871,2.2797,0.85,0.8487
59.0,2.4867,2.2794,0.8494,0.8472
60.0,2.4864,2.279,0.8486,0.847
61.0,2.486,2.2787,0.8449,0.844
62.0,2.4857,2.2784,0.844,0.8413
63.0,2.4854,2.2781,0.842,0.8385
64.0,2.4851,2.2778,0.8416,0.8385
65.0,2.4847,2.2774,0.8427,0.8416
66.0,2.4843,2.277,0.8408,0.8374
67.0,2.484,2.2768,0.8382,0.8348
68.0,2.4838,2.2765,0.8362,0.8334
69.0,2.4834,2.2761,0.8354,0.8315
70.0,2.4831,2.2758,0.8337,0.8302
71.0,2.4827,2.2754,0.8313,0.8274
72.0,2.4824,2.2751,0.8303,0.8269
73.0,2.4821,2.2748,0.8294,0.8256
74.0,2.4817,2.2744,0.8253,0.8222
75.0,2.4813,2.2741,0.8225,0.8205
76.0,2.481,2.2738,0.8221,0.8189
77.0,2.4807,2.2734,0.8214,0.8194
78.0,2.4804,2.2731,0.8202,0.8182
79.0,2.48,2.2727,0.818,0.8156
80.0,2.4797,2.2724,0.82,0.8154
81.0,2.4793,2.272,0.8206,0.8157
82.0,2.479,2.2717,0.8198,0.8146
83.0,2.4786,2.2713,0.8217,0.8184
84.0,2.4783,2.271,0.821,0.8182
85.0,2.478,2.2707,0.8194,0.8159
86.0,2.4778,2.2705,0.8178,0.8136
87.0,2.4774,2.2702,0.8129,0.8091
88.0,2.4772,2.2699,0.8113,0.8082
89.0,2.4768,2.2695,0.8069,0.8044
90.0,2.4765,2.2692,0.8103,0.8065
91.0,2.4761,2.2688,0.8099,0.806
92.0,2.4759,2.2686,0.8102,0.8063
93.0,2.4756,2.2683,0.814,0.8097
94.0,2.4753,2.268,0.8136,0.8085
95.0,2.475,2.2677,0.8132,0.8095
96.0,2.4747,2.2674,0.8135,0.81
