iteration,cos_a
1.0,0.0096
2.0,0.0157
3.0,0.0197
4.0,0.0251
5.0,0.0294
6.0,0.0341
7.0,0.0374
8.0,0.0413
9.0,0.0427
10.0,0.0445
11.0,0.046
12.0,0.0491
13.0,0.0503
14.0,0.0532
15.0,0.0583
16.0,0.0588
17.0,0.06
18.0,0.0619
19.0,0.0629
20.0,0.0663
21.0,0.0679
22.0,0.069
23.0,0.0694
24.0,0.0707
25.0,0.0721
26.0,0.0732
27.0,0.0742
28.0,0.0755
29.0,0.0764
30.0,0.0766
31.0,0.0775
32.0,0.0777
33.0,0.0798
34.0,0.0811
35.0,0.0821
36.0,0.0836
37.0,0.084
38.0,0.0853
39.0,0.0863
40.0,0.0875
41.0,0.0888
42.0,0.0902
43.0,0.0908
44.0,0.0916
45.0,0.093
46.0,0.0936
47.0,0.0941
48.0,0.0953
49.0,0.0959
50.0,0.0963
51.0,0.097
52.0,0.0982
53.0,0.0989
54.0,0.0993
55.0,0.1004
56.0,0.1013
57.0,0.1027
58.0,0.1036
59.0,0.104
60.0,0.1051
61.0,0.1059
62.0,0.1072
63.0,0.1077
64.0,0.1091
65.0,0.1101
66.0,0.1107
67.0,0.112
68.0,0.1128
69.0,0.1144
70.0,0.1152
71.0,0.1156
72.0,0.1167
73.0,0.1174
74.0,0.1187
75.0,0.1193
76.0,0.1198
77.0,0.1201
78.0,0.1215
79.0,0.122
80.0,0.1223
81.0,0.1232
82.0,0.1241
83.0,0.1247
84.0,0.125
85.0,0.1259
86.0,0.1264
87.0,0.127
88.0,0.1275
89.0,0.128
90.0,0.1285
91.0,0.1293
92.0,0.1299
93.0,0.1305
94.0,0.1308
95.0,0.1318
96.0,0.1327
97.0,0.1339
98.0,0.1344
99.0,0.1351
100.0,0.1353
101.0,0.1362
102.0,0.1367
103.0,0.1379
104.0,0.1393
105.0,0.1397
106.0,0.1403
107.0,0.1428
108.0,0.1438
109.0,0.1442
110.0,0.1446
111.0,0.1461
112.0,0.1467
113.0,0.1474
114.0,0.1479
115.0,0.1482
116.0,0.149
117.0,0.1497
118.0,0.1503
119.0,0.1503
120.0,0.1513
121.0,0.152
122.0,0.1523
123.0,0.1527
124.0,0.153
125.0,0.1547
126.0,0.1551
127.0,0.1559
128.0,0.1563
129.0,0.1573
130.0,0.1581
131.0,0.1584
132.0,0.1588
133.0,0.159
134.0,0.1594
135.0,0.16
136.0,0.1604
137.0,0.1607
138.0,0.1616
139.0,0.1619
140.0,0.1626
141.0,0.1633
142.0,0.164
143.0,0.1646
144.0,0.1652
145.0,0.1656
146.0,0.1664
147.0,0.1672
148.0,0.1675
149.0,0.1679
150.0,0.1684
151.0,0.1688
152.0,0.1696
153.0,0.1701
154.0,0.1704
155.0,0.1707
156.0,0.1711
157.0,0.1713
158.0,0.1722
159.0,0.1724
160.0,0.1726
161.0,0.1729
162.0,0.1734
163.0,0.174
164.0,0.1744
165.0,0.1749
166.0,0.1749
167.0,0.175
168.0,0.1752
169.0,0.176
170.0,0.1766
171.0,0.1769
172.0,0.1773
173.0,0.1774
174.0,0.1778
175.0,0.1783
176.0,0.1785
177.0,0.1792
178.0,0.1796
179.0,0.1799
180.0,0.1802
181.0,0.1806
182.0,0.1815
183.0,0.1826
184.0,0.1833
185.0,0.1839
186.0,0.1844
187.0,0.1845
188.0,0.1851
189.0,0.1859
190.0,0.187
191.0,0.1874
192.0,0.1876
193.0,0.1884
194.0,0.1888
195.0,0.189
196.0,0.1895
197.0,0.1906
198.0,0.1909
199.0,0.1917
200.0,0.192
201.0,0.1923
202.0,0.1928
203.0,0.1931
204.0,0.1937
205.0,0.1943
206.0,0.1945
207.0,0.1948
208.0,0.1955
209.0,0.1957
210.0,0.1966
211.0,0.1974
212.0,0.1978
213.0,0.198
214.0,0.1982
215.0,0.1989
216.0,0.1995
217.0,0.1998
218.0,0.2003
219.0,0.2014
220.0,0.2017
221.0,0.2021
222.0,0.2024
223.0,0.2026
224.0,0.2029
225.0,0.2033
226.0,0.2035
227.0,0.2038
228.0,0.2039
229.0,0.204
230.0,0.2043
231.0,0.2047
232.0,0.2053
233.0,0.2058
234.0,0.2063
235.0,0.2071
236.0,0.2073
237.0,0.2075
238.0,0.2075
239.0,0.2081
240.0,0.2084
241.0,0.2087
242.0,0.2089
243.0,0.2092
244.0,0.2097
245.0,0.2099
246.0,0.2105
247.0,0.211
248.0,0.2115
249.0,0.212
250.0,0.2124
251.0,0.2125
252.0,0.2129
253.0,0.2133
254.0,0.2139
255.0,0.2141
256.0,0.2142
257.0,0.2148
258.0,0.2152
259.0,0.2157
260.0,0.2162
261.0,0.2165
262.0,0.2167
263.0,0.217
264.0,0.2175
265.0,0.2184
266.0,0.2187
267.0,0.2189
268.0,0.2191
269.0,0.2193
270.0,0.2198
271.0,0.22
272.0,0.2211
273.0,0.2218
274.0,0.223
275.0,0.2231
276.0,0.2233
277.0,0.2239
278.0,0.2241
279.0,0.2246
280.0,0.2249
281.0,0.225
282.0,0.2254
283.0,0.2256
284.0,0.2263
285.0,0.2265
286.0,0.2268
287.0,0.2273
288.0,0.2274
289.0,0.2279
290.0,0.2281
291.0,0.2285
292.0,0.2287
293.0,0.2295
294.0,0.23
295.0,0.2305
296.0,0.2312
297.0,0.2318
298.0,0.2322
299.0,0.2325
300.0,0.2328
301.0,0.2331
302.0,0.2343
303.0,0.2351
304.0,0.2354
305.0,0.2361
306.0,0.2366
307.0,0.237
308.0,0.2374
309.0,0.2377
310.0,0.2379
311.0,0.2382
312.0,0.2388
313.0,0.2391
314.0,0.2394
315.0,0.2397
316.0,0.2405
317.0,0.2414
318.0,0.2417
319.0,0.2418
320.0,0.2421
321.0,0.2423
322.0,0.2427
323.0,0.2428
324.0,0.2432
325.0,0.2434
326.0,0.2436
327.0,0.2437
328.0,0.2442
329.0,0.2447
330.0,0.2449
331.0,0.245
332.0,0.2453
333.0,0.2455
334.0,0.2457
335.0,0.246
336.0,0.2465
337.0,0.2468
338.0,0.2473
339.0,0.2474
340.0,0.2477
341.0,0.2479
342.0,0.2486
343.0,0.2495
344.0,0.2496
345.0,0.2498
346.0,0.25
347.0,0.2503
348.0,0.2503
349.0,0.2506
350.0,0.2508
351.0,0.2509
352.0,0.2512
353.0,0.2516
354.0,0.2517
355.0,0.2518
356.0,0.2522
357.0,0.2524
358.0,0.2529
359.0,0.2531
360.0,0.2533
361.0,0.2535
362.0,0.2539
363.0,0.2542
364.0,0.2546
365.0,0.2547
366.0,0.2549
367.0,0.2552
368.0,0.2557
369.0,0.2561
370.0,0.2561
371.0,0.2562
372.0,0.2565
373.0,0.2569
374.0,0.2569
375.0,0.257
376.0,0.2573
377.0,0.2573
378.0,0.2575
379.0,0.2577
380.0,0.2579
381.0,0.2582
382.0,0.2583
383.0,0.259
384.0,0.2595
385.0,0.2596
386.0,0.2601
387.0,0.2606
388.0,0.2609
389.0,0.2611
390.0,0.2615
391.0,0.2619
392.0,0.2624
393.0,0.2627
394.0,0.2629
395.0,0.2631
396.0,0.2634
397.0,0.2636
398.0,0.264
399.0,0.2641
400.0,0.2641
401.0,0.2644
402.0,0.2646
403.0,0.2654
404.0,0.2657
405.0,0.2661
406.0,0.2666
407.0,0.2668
408.0,0.2673
409.0,0.2682
410.0,0.2686
411.0,0.2693
412.0,0.2695
413.0,0.2697
414.0,0.2701
415.0,0.2701
416.0,0.2706
417.0,0.2707
418.0,0.2709
419.0,0.2711
420.0,0.2715
421.0,0.2716
422.0,0.2719
423.0,0.2721
424.0,0.2724
425.0,0.2727
426.0,0.2731
427.0,0.2737
428.0,0.2741
429.0,0.2744
430.0,0.2745
431.0,0.2748
432.0,0.2752
433.0,0.2752
434.0,0.2755
435.0,0.2757
436.0,0.2758
437.0,0.2762
438.0,0.2766
439.0,0.2769
440.0,0.2772
441.0,0.2775
442.0,0.2775
443.0,0.2776
444.0,0.2781
445.0,0.2782
446.0,0.2784
447.0,0.2786
448.0,0.2787
449.0,0.2789
450.0,0.2793
451.0,0.2793
452.0,0.2796
453.0,0.2797
454.0,0.2797
455.0,0.28
456.0,0.2803
457.0,0.2805
458.0,0.2805
459.0,0.2806
460.0,0.281
461.0,0.2812
462.0,0.2814
463.0,0.2816
464.0,0.282
465.0,0.2822
466.0,0.2824
467.0,0.2828
468.0,0.2831
469.0,0.2835
470.0,0.2836
471.0,0.2839
472.0,0.284
473.0,0.2845
474.0,0.2847
475.0,0.2849
476.0,0.285
477.0,0.2852
478.0,0.2857
479.0,0.2858
480.0,0.2862
481.0,0.2863
482.0,0.2864
483.0,0.2866
484.0,0.2868
485.0,0.2869
486.0,0.287
487.0,0.2871
488.0,0.2873
489.0,0.2875
490.0,0.2877
491.0,0.2884
492.0,0.2888
493.0,0.2892
494.0,0.2897
495.0,0.2899
496.0,0.2901
497.0,0.29
498.0,0.2905
499.0,0.2909
500.0,0.2909
