iteration,cos_a
1.0,0.0218
2.0,0.0137
3.0,0.0083
4.0,0.0142
5.0,0.0188
6.0,0.0203
7.0,0.009
8.0,0.0132
9.0,0.0164
10.0,0.0257
11.0,0.0274
12.0,0.0267
13.0,0.024
14.0,0.0282
15.0,0.0257
16.0,0.0319
17.0,0.0372
18.0,0.0429
19.0,0.0424
20.0,0.0391
21.0,0.0417
22.0,0.0339
23.0,0.0264
24.0,0.0293
25.0,0.0305
26.0,0.0331
27.0,0.0333
28.0,0.0335
29.0,0.0364
30.0,0.0339
31.0,0.039
32.0,0.0401
33.0,0.0408
34.0,0.0366
35.0,0.0421
36.0,0.046
37.0,0.0474
38.0,0.0488
39.0,0.052
40.0,0.0523
41.0,0.0531
42.0,0.0531
43.0,0.0538
44.0,0.0514
45.0,0.0584
46.0,0.0601
47.0,0.0623
48.0,0.0636
49.0,0.064
50.0,0.0616
51.0,0.0616
52.0,0.0602
53.0,0.0624
54.0,0.0642
55.0,0.0624
56.0,0.0623
57.0,0.0604
58.0,0.0617
59.0,0.0606
60.0,0.0618
61.0,0.0627
62.0,0.0627
63.0,0.0626
64.0,0.063
65.0,0.0605
66.0,0.0625
67.0,0.0652
68.0,0.0656
69.0,0.066
70.0,0.069
71.0,0.0716
72.0,0.0719
73.0,0.0714
74.0,0.0701
75.0,0.0711
76.0,0.0723
77.0,0.0729
78.0,0.0716
79.0,0.0716
80.0,0.0756
81.0,0.0751
82.0,0.079
83.0,0.0815
84.0,0.0802
85.0,0.0808
86.0,0.0747
87.0,0.076
88.0,0.0786
89.0,0.0846
90.0,0.086
91.0,0.0878
92.0,0.0853
93.0,0.086
94.0,0.0874
95.0,0.0896
96.0,0.0911
97.0,0.0901
98.0,0.0915
99.0,0.0899
100.0,0.0894
101.0,0.0896
102.0,0.0903
103.0,0.0918
104.0,0.0916
105.0,0.0903
106.0,0.0925
107.0,0.0952
108.0,0.0969
109.0,0.0957
110.0,0.0977
111.0,0.0971
112.0,0.0955
113.0,0.0969
114.0,0.0954
115.0,0.0953
116.0,0.0957
117.0,0.0949
118.0,0.0959
119.0,0.0954
120.0,0.0958
121.0,0.0945
122.0,0.0964
123.0,0.0975
124.0,0.0983
125.0,0.1018
126.0,0.0987
127.0,0.0978
128.0,0.0969
129.0,0.0965
130.0,0.0965
131.0,0.0967
132.0,0.098
133.0,0.0956
134.0,0.0972
135.0,0.0979
136.0,0.0982
137.0,0.099
138.0,0.0995
139.0,0.1005
140.0,0.1001
141.0,0.1026
142.0,0.1022
143.0,0.102
144.0,0.1026
145.0,0.1029
146.0,0.1027
147.0,0.102
148.0,0.1014
149.0,0.1019
150.0,0.1022
151.0,0.1024
152.0,0.1029
153.0,0.1015
