iteration,cos_a
1.0,0.0342
2.0,0.0631
3.0,0.0425
4.0,0.0643
5.0,0.0781
6.0,0.0657
7.0,0.0688
8.0,0.0694
9.0,0.0693
10.0,0.0633
11.0,0.0708
12.0,0.0681
13.0,0.0706
14.0,0.0692
15.0,0.0695
16.0,0.0817
17.0,0.0739
18.0,0.0586
19.0,0.0556
20.0,0.0674
21.0,0.0619
22.0,0.0625
23.0,0.0675
24.0,0.072
25.0,0.0719
26.0,0.0861
27.0,0.0937
28.0,0.0943
29.0,0.0941
30.0,0.0944
31.0,0.1071
32.0,0.1018
33.0,0.104
34.0,0.1117
35.0,0.1112
36.0,0.1148
37.0,0.1198
38.0,0.1383
39.0,0.1428
40.0,0.1424
41.0,0.1431
42.0,0.1481
43.0,0.1462
44.0,0.1481
45.0,0.1409
46.0,0.1438
47.0,0.1491
48.0,0.1472
49.0,0.1495
50.0,0.1498
51.0,0.1484
52.0,0.1461
53.0,0.1621
54.0,0.16
55.0,0.1583
56.0,0.1567
57.0,0.1592
58.0,0.1543
59.0,0.1644
60.0,0.1638
61.0,0.1659
62.0,0.1624
63.0,0.16
64.0,0.1599
65.0,0.1568
66.0,0.1623
67.0,0.161
68.0,0.1622
69.0,0.1602
70.0,0.1613
71.0,0.1723
72.0,0.171
73.0,0.1705
74.0,0.1728
75.0,0.1709
76.0,0.165
77.0,0.1773
78.0,0.1746
79.0,0.1836
80.0,0.1883
81.0,0.1938
82.0,0.1956
83.0,0.1959
84.0,0.1936
85.0,0.198
86.0,0.2076
87.0,0.2077
88.0,0.21
89.0,0.2133
90.0,0.2109
91.0,0.2122
92.0,0.2115
93.0,0.2122
94.0,0.2201
95.0,0.2198
96.0,0.2174
97.0,0.2162
98.0,0.2115
99.0,0.2164
100.0,0.2096
101.0,0.2079
102.0,0.2137
103.0,0.2157
104.0,0.2174
105.0,0.2192
106.0,0.2186
107.0,0.2197
108.0,0.2212
109.0,0.2186
110.0,0.2211
111.0,0.2225
112.0,0.2232
113.0,0.2293
114.0,0.2347
115.0,0.2365
116.0,0.2302
117.0,0.2344
118.0,0.2358
119.0,0.2344
120.0,0.2352
121.0,0.2371
122.0,0.2395
123.0,0.2449
124.0,0.246
125.0,0.2492
126.0,0.2514
127.0,0.2503
128.0,0.2514
129.0,0.2502
130.0,0.2464
131.0,0.2458
132.0,0.2464
133.0,0.2494
134.0,0.2466
135.0,0.2477
136.0,0.2475
137.0,0.2515
138.0,0.2508
139.0,0.252
140.0,0.2524
141.0,0.2497
142.0,0.2493
143.0,0.2492
144.0,0.2476
145.0,0.2459
146.0,0.2476
147.0,0.2511
148.0,0.2537
149.0,0.2552
150.0,0.2514
151.0,0.2491
152.0,0.2512
153.0,0.251
154.0,0.2507
155.0,0.2495
156.0,0.251
157.0,0.252
158.0,0.2496
159.0,0.2521
160.0,0.2511
161.0,0.2516
162.0,0.2514
163.0,0.2509
164.0,0.251
165.0,0.2512
166.0,0.2504
167.0,0.2533
168.0,0.2536
169.0,0.2567
170.0,0.2583
171.0,0.2568
172.0,0.2588
173.0,0.2628
174.0,0.2614
175.0,0.2599
176.0,0.259
177.0,0.2625
178.0,0.2624
179.0,0.2627
180.0,0.2592
181.0,0.2641
182.0,0.2652
183.0,0.263
184.0,0.263
185.0,0.2654
186.0,0.2702
187.0,0.2699
188.0,0.2696
189.0,0.2678
190.0,0.2694
191.0,0.2694
192.0,0.2699
193.0,0.2712
194.0,0.2706
195.0,0.272
196.0,0.2723
197.0,0.2776
198.0,0.2775
199.0,0.2758
200.0,0.2788
201.0,0.2775
202.0,0.2741
203.0,0.2782
204.0,0.2772
205.0,0.2761
206.0,0.2835
207.0,0.2831
208.0,0.2806
209.0,0.2798
210.0,0.2802
211.0,0.2822
212.0,0.2835
213.0,0.2827
214.0,0.2845
215.0,0.2816
216.0,0.2822
217.0,0.2835
218.0,0.2823
219.0,0.282
220.0,0.286
221.0,0.2837
222.0,0.2847
223.0,0.2842
224.0,0.2801
225.0,0.281
226.0,0.2816
227.0,0.2827
228.0,0.2831
229.0,0.2828
230.0,0.2862
231.0,0.2878
232.0,0.2866
233.0,0.2886
234.0,0.291
235.0,0.2964
236.0,0.2949
237.0,0.297
238.0,0.2963
239.0,0.2982
240.0,0.3062
241.0,0.3076
242.0,0.306
243.0,0.3052
244.0,0.3039
245.0,0.3027
246.0,0.3016
247.0,0.2984
248.0,0.2997
249.0,0.2974
250.0,0.2979
251.0,0.2982
252.0,0.298
253.0,0.2988
254.0,0.3026
255.0,0.304
256.0,0.305
257.0,0.3056
258.0,0.306
259.0,0.303
260.0,0.3016
261.0,0.3019
262.0,0.3055
263.0,0.305
264.0,0.3078
265.0,0.3062
266.0,0.3052
267.0,0.3053
268.0,0.3063
269.0,0.3078
270.0,0.3089
271.0,0.3091
272.0,0.3096
273.0,0.3097
274.0,0.3097
275.0,0.3095
276.0,0.3116
277.0,0.3119
278.0,0.3118
279.0,0.3109
280.0,0.3113
281.0,0.3101
282.0,0.3111
283.0,0.309
284.0,0.3117
285.0,0.3111
286.0,0.3116
287.0,0.3108
288.0,0.313
289.0,0.3136
290.0,0.315
291.0,0.3141
292.0,0.317
293.0,0.3118
294.0,0.3085
295.0,0.3073
296.0,0.3088
297.0,0.3089
298.0,0.3088
299.0,0.3099
300.0,0.3137
301.0,0.3138
302.0,0.3165
303.0,0.3202
304.0,0.3214
305.0,0.3227
306.0,0.3224
307.0,0.3229
308.0,0.3242
309.0,0.3289
310.0,0.3294
311.0,0.3301
312.0,0.3267
313.0,0.3291
314.0,0.3316
315.0,0.3324
316.0,0.3321
317.0,0.3316
318.0,0.3318
319.0,0.3285
320.0,0.3298
321.0,0.3333
322.0,0.3329
323.0,0.335
324.0,0.3351
325.0,0.3351
326.0,0.3355
327.0,0.3372
328.0,0.337
329.0,0.3374
330.0,0.3397
331.0,0.3408
332.0,0.3418
333.0,0.3433
334.0,0.3438
335.0,0.3407
336.0,0.3423
337.0,0.3458
338.0,0.3455
339.0,0.344
340.0,0.3433
341.0,0.3436
342.0,0.3446
343.0,0.345
344.0,0.3463
345.0,0.3439
346.0,0.343
347.0,0.3429
348.0,0.3424
349.0,0.3437
350.0,0.3459
351.0,0.3468
352.0,0.3466
353.0,0.3455
354.0,0.3407
355.0,0.3427
356.0,0.3434
357.0,0.3434
358.0,0.3427
359.0,0.3493
360.0,0.3482
361.0,0.3452
362.0,0.3476
363.0,0.343
364.0,0.3429
365.0,0.3431
366.0,0.3419
367.0,0.3396
368.0,0.3395
369.0,0.3403
370.0,0.3416
371.0,0.3405
372.0,0.3412
373.0,0.344
374.0,0.3441
375.0,0.3443
376.0,0.3494
377.0,0.3516
378.0,0.3519
379.0,0.3522
380.0,0.3521
381.0,0.353
382.0,0.3524
383.0,0.3545
384.0,0.3559
385.0,0.3555
386.0,0.3547
387.0,0.3526
388.0,0.3533
389.0,0.3533
390.0,0.3524
391.0,0.353
392.0,0.3542
393.0,0.355
394.0,0.3547
395.0,0.3551
396.0,0.355
397.0,0.3549
398.0,0.3562
399.0,0.3578
400.0,0.3607
401.0,0.3615
402.0,0.3621
403.0,0.3631
404.0,0.3618
405.0,0.36
406.0,0.3615
407.0,0.3606
408.0,0.3612
409.0,0.3626
410.0,0.3639
411.0,0.3639
412.0,0.3628
413.0,0.3627
414.0,0.364
415.0,0.3637
416.0,0.3639
417.0,0.3651
418.0,0.3651
419.0,0.363
420.0,0.3637
421.0,0.3627
422.0,0.3634
423.0,0.3615
424.0,0.3641
425.0,0.3618
426.0,0.3622
427.0,0.3628
428.0,0.3624
429.0,0.3651
430.0,0.3643
431.0,0.3646
432.0,0.3654
433.0,0.361
434.0,0.3613
435.0,0.3612
436.0,0.3669
437.0,0.368
438.0,0.3688
439.0,0.3698
440.0,0.3706
441.0,0.3701
442.0,0.3703
443.0,0.3703
444.0,0.3719
445.0,0.373
446.0,0.3726
447.0,0.372
448.0,0.3709
449.0,0.3699
450.0,0.3691
451.0,0.3682
452.0,0.369
453.0,0.3682
454.0,0.3717
455.0,0.3716
456.0,0.3695
457.0,0.3697
458.0,0.3699
459.0,0.3743
460.0,0.3741
461.0,0.3738
462.0,0.3726
463.0,0.3746
464.0,0.3751
465.0,0.3762
466.0,0.375
467.0,0.3752
468.0,0.3749
469.0,0.3766
470.0,0.3767
471.0,0.3792
472.0,0.382
473.0,0.3823
474.0,0.3821
475.0,0.382
476.0,0.3839
477.0,0.3843
478.0,0.384
479.0,0.3854
480.0,0.3853
481.0,0.3841
482.0,0.386
483.0,0.3867
484.0,0.39
485.0,0.3885
486.0,0.3889
487.0,0.3881
488.0,0.3896
489.0,0.3907
490.0,0.3902
491.0,0.392
492.0,0.3932
493.0,0.3913
494.0,0.3927
495.0,0.3945
496.0,0.392
497.0,0.3906
498.0,0.3908
499.0,0.3912
500.0,0.3913
501.0,0.391
502.0,0.3954
503.0,0.3958
504.0,0.3944
505.0,0.3934
506.0,0.3944
507.0,0.3946
508.0,0.3952
509.0,0.3969
510.0,0.3972
511.0,0.3967
512.0,0.399
513.0,0.4022
514.0,0.4032
515.0,0.4006
516.0,0.4
517.0,0.4016
518.0,0.4018
519.0,0.4022
520.0,0.4022
521.0,0.4023
522.0,0.4032
523.0,0.405
524.0,0.4054
525.0,0.4036
526.0,0.403
527.0,0.4017
528.0,0.3992
529.0,0.4001
530.0,0.4006
531.0,0.4023
532.0,0.4039
533.0,0.4056
534.0,0.4039
535.0,0.4043
536.0,0.4042
537.0,0.4035
538.0,0.4032
539.0,0.4006
540.0,0.4004
541.0,0.4005
542.0,0.4013
543.0,0.4014
544.0,0.4014
545.0,0.4022
546.0,0.4025
547.0,0.4025
548.0,0.4041
549.0,0.3991
550.0,0.3968
551.0,0.3966
552.0,0.3983
553.0,0.3984
554.0,0.3964
555.0,0.396
556.0,0.3973
557.0,0.3978
558.0,0.3986
559.0,0.3991
560.0,0.3985
561.0,0.3992
562.0,0.3994
563.0,0.4009
564.0,0.3999
565.0,0.4003
566.0,0.4005
567.0,0.4021
568.0,0.4022
569.0,0.4017
570.0,0.4016
571.0,0.4008
572.0,0.4004
573.0,0.4004
574.0,0.4013
575.0,0.4006
576.0,0.4004
577.0,0.4007
578.0,0.4013
579.0,0.4013
580.0,0.4023
581.0,0.4037
582.0,0.4039
583.0,0.404
584.0,0.4051
585.0,0.4066
586.0,0.4075
587.0,0.4065
588.0,0.406
589.0,0.4047
590.0,0.4056
591.0,0.4069
592.0,0.4067
593.0,0.4066
594.0,0.4062
595.0,0.406
596.0,0.4066
597.0,0.407
598.0,0.4071
599.0,0.4072
600.0,0.4081
601.0,0.4062
602.0,0.4054
603.0,0.4069
604.0,0.406
605.0,0.4063
606.0,0.4072
607.0,0.4065
608.0,0.4074
609.0,0.4068
610.0,0.4081
611.0,0.4093
612.0,0.4085
613.0,0.4102
614.0,0.4097
615.0,0.4086
616.0,0.4092
617.0,0.408
618.0,0.4093
619.0,0.4112
620.0,0.4108
621.0,0.4116
622.0,0.4118
623.0,0.4124
624.0,0.4126
625.0,0.4127
626.0,0.4112
627.0,0.4118
628.0,0.4116
629.0,0.4103
630.0,0.41
631.0,0.4101
632.0,0.4112
633.0,0.4127
634.0,0.4135
635.0,0.415
636.0,0.4134
637.0,0.4117
638.0,0.4117
639.0,0.4126
640.0,0.4114
641.0,0.4124
642.0,0.4126
643.0,0.4133
644.0,0.4157
645.0,0.4169
646.0,0.4162
647.0,0.4165
648.0,0.4173
649.0,0.418
650.0,0.4176
651.0,0.4181
652.0,0.4163
653.0,0.416
654.0,0.4161
655.0,0.4155
656.0,0.4156
657.0,0.4154
658.0,0.412
659.0,0.413
660.0,0.4127
661.0,0.4122
662.0,0.4111
663.0,0.4083
664.0,0.4086
665.0,0.4093
666.0,0.4081
667.0,0.4088
668.0,0.4078
669.0,0.4088
670.0,0.412
671.0,0.4123
672.0,0.4127
673.0,0.4119
674.0,0.4121
675.0,0.4114
676.0,0.4116
677.0,0.412
678.0,0.412
679.0,0.4143
680.0,0.4138
681.0,0.4142
682.0,0.4148
683.0,0.4141
684.0,0.4148
685.0,0.4153
686.0,0.4148
687.0,0.4152
688.0,0.4139
689.0,0.4147
690.0,0.4151
691.0,0.4148
692.0,0.4154
693.0,0.4162
694.0,0.417
695.0,0.418
696.0,0.4181
697.0,0.4184
698.0,0.4178
699.0,0.4181
700.0,0.4173
701.0,0.4179
702.0,0.4188
703.0,0.4195
704.0,0.4207
705.0,0.4216
706.0,0.4235
707.0,0.4244
708.0,0.4251
709.0,0.4255
710.0,0.4248
711.0,0.4256
