iteration,cos_a
1.0,0.0299
2.0,0.0052
3.0,0.0391
4.0,0.0432
5.0,0.0489
6.0,0.0529
7.0,0.0451
8.0,0.0454
9.0,0.0474
10.0,0.0387
11.0,0.0402
12.0,0.0417
13.0,0.0485
14.0,0.0517
15.0,0.0499
16.0,0.0518
17.0,0.0493
18.0,0.0495
19.0,0.0507
20.0,0.0576
21.0,0.0582
22.0,0.0572
23.0,0.0619
24.0,0.0575
25.0,0.0568
26.0,0.0582
27.0,0.0581
28.0,0.0565
29.0,0.056
30.0,0.0592
31.0,0.0635
32.0,0.0654
33.0,0.0654
34.0,0.0701
35.0,0.0765
36.0,0.0756
37.0,0.0784
38.0,0.0747
39.0,0.0734
40.0,0.0701
41.0,0.073
42.0,0.0741
43.0,0.072
44.0,0.0701
45.0,0.0679
46.0,0.069
47.0,0.069
48.0,0.0658
49.0,0.0694
50.0,0.0686
51.0,0.0692
52.0,0.0707
53.0,0.0715
54.0,0.0694
55.0,0.0663
56.0,0.0674
57.0,0.07
58.0,0.0695
59.0,0.0693
60.0,0.0713
61.0,0.0678
62.0,0.0662
63.0,0.0665
64.0,0.07
65.0,0.0725
66.0,0.0686
67.0,0.0706
68.0,0.0713
69.0,0.0734
70.0,0.0735
71.0,0.0763
72.0,0.0772
73.0,0.0781
74.0,0.0801
75.0,0.0814
76.0,0.0797
77.0,0.0778
78.0,0.0795
79.0,0.0777
80.0,0.0784
81.0,0.0773
82.0,0.0797
83.0,0.0814
84.0,0.0821
85.0,0.0829
86.0,0.0837
87.0,0.0855
88.0,0.0881
89.0,0.0916
90.0,0.09
91.0,0.0901
92.0,0.0905
93.0,0.0921
94.0,0.0939
95.0,0.095
96.0,0.0949
97.0,0.0966
98.0,0.0977
99.0,0.0974
100.0,0.0965
101.0,0.0953
102.0,0.0944
103.0,0.0956
104.0,0.0976
105.0,0.0975
106.0,0.0998
107.0,0.1004
108.0,0.1028
109.0,0.1018
110.0,0.1026
111.0,0.1021
112.0,0.1043
113.0,0.1056
114.0,0.1054
115.0,0.1059
116.0,0.1082
117.0,0.1076
118.0,0.1086
119.0,0.1067
120.0,0.1072
121.0,0.1066
122.0,0.109
123.0,0.1092
124.0,0.1106
125.0,0.1143
126.0,0.1157
127.0,0.1166
128.0,0.117
129.0,0.1166
130.0,0.1157
131.0,0.116
132.0,0.1171
133.0,0.1151
134.0,0.1147
135.0,0.1149
136.0,0.1154
137.0,0.1141
138.0,0.1134
139.0,0.1159
140.0,0.1179
141.0,0.1195
142.0,0.1203
143.0,0.1204
144.0,0.122
145.0,0.1216
146.0,0.1224
147.0,0.1224
148.0,0.1227
149.0,0.122
150.0,0.1227
151.0,0.1229
152.0,0.1239
153.0,0.122
154.0,0.1233
155.0,0.124
156.0,0.1237
157.0,0.1222
158.0,0.121
159.0,0.123
160.0,0.1242
161.0,0.1234
162.0,0.124
163.0,0.122
164.0,0.1218
165.0,0.1222
166.0,0.1243
167.0,0.1269
168.0,0.1267
169.0,0.1275
170.0,0.1273
171.0,0.1262
172.0,0.1277
173.0,0.1283
174.0,0.135
175.0,0.1381
176.0,0.139
177.0,0.1396
178.0,0.1414
179.0,0.1412
180.0,0.1428
181.0,0.1426
182.0,0.1428
183.0,0.1435
184.0,0.1429
185.0,0.1425
186.0,0.1426
187.0,0.1438
188.0,0.1437
189.0,0.1427
190.0,0.1421
191.0,0.1426
192.0,0.1411
193.0,0.1404
194.0,0.1407
195.0,0.1392
196.0,0.1389
197.0,0.1364
198.0,0.137
199.0,0.1363
200.0,0.1379
201.0,0.1364
202.0,0.1341
203.0,0.1337
204.0,0.1341
205.0,0.134
206.0,0.1346
207.0,0.1352
208.0,0.1362
209.0,0.1362
210.0,0.1358
211.0,0.1347
212.0,0.1349
213.0,0.1361
214.0,0.1359
215.0,0.1362
216.0,0.1369
217.0,0.138
218.0,0.138
219.0,0.1374
220.0,0.1379
221.0,0.1386
222.0,0.1385
223.0,0.1391
224.0,0.1401
225.0,0.1412
226.0,0.1439
227.0,0.145
228.0,0.1457
229.0,0.1462
230.0,0.1468
231.0,0.145
232.0,0.1448
233.0,0.1447
234.0,0.1447
235.0,0.146
236.0,0.1449
237.0,0.1445
238.0,0.1453
239.0,0.1457
240.0,0.1463
241.0,0.1468
242.0,0.1472
243.0,0.1481
244.0,0.148
245.0,0.1484
246.0,0.1488
247.0,0.1501
248.0,0.1518
249.0,0.1526
250.0,0.1522
251.0,0.1533
252.0,0.1535
253.0,0.1533
254.0,0.1535
255.0,0.1542
256.0,0.1542
257.0,0.1556
258.0,0.1566
259.0,0.1598
260.0,0.1591
261.0,0.16
262.0,0.1598
263.0,0.1605
264.0,0.1613
265.0,0.161
266.0,0.1617
267.0,0.1607
268.0,0.1608
269.0,0.1602
270.0,0.1605
271.0,0.1611
272.0,0.1607
273.0,0.1605
274.0,0.1599
