iteration,cos_a
1.0,0.0018
2.0,0.0021
3.0,0.0025
4.0,0.0028
5.0,0.0033
6.0,0.0038
7.0,0.004
8.0,0.0046
9.0,0.0048
10.0,0.0049
11.0,0.0052
12.0,0.0053
13.0,0.0056
14.0,0.0058
15.0,0.0062
16.0,0.0065
17.0,0.0065
18.0,0.0068
19.0,0.007
20.0,0.0074
21.0,0.0075
22.0,0.0076
23.0,0.0077
24.0,0.0078
25.0,0.0079
26.0,0.0081
27.0,0.0084
28.0,0.0088
29.0,0.009
30.0,0.0091
31.0,0.0092
32.0,0.0093
33.0,0.0094
34.0,0.0095
35.0,0.0096
36.0,0.0098
37.0,0.0099
38.0,0.01
39.0,0.0101
40.0,0.0104
41.0,0.0104
42.0,0.0106
43.0,0.0107
44.0,0.0108
45.0,0.011
46.0,0.0111
47.0,0.0112
48.0,0.0112
49.0,0.0113
50.0,0.0116
51.0,0.0118
52.0,0.0119
53.0,0.0122
54.0,0.0124
55.0,0.0126
56.0,0.0127
57.0,0.0127
58.0,0.0129
59.0,0.013
60.0,0.0131
61.0,0.0132
62.0,0.0133
63.0,0.0135
64.0,0.0135
65.0,0.0136
66.0,0.0137
67.0,0.0138
68.0,0.0139
69.0,0.0141
70.0,0.0141
71.0,0.0142
72.0,0.0144
73.0,0.0144
74.0,0.0145
75.0,0.0146
76.0,0.0147
77.0,0.0147
78.0,0.0149
79.0,0.0149
80.0,0.015
81.0,0.015
82.0,0.0151
83.0,0.0152
84.0,0.0153
85.0,0.0153
86.0,0.0154
87.0,0.0155
88.0,0.0156
89.0,0.0157
90.0,0.0158
91.0,0.016
92.0,0.016
93.0,0.0162
94.0,0.0163
95.0,0.0163
96.0,0.0164
97.0,0.0165
98.0,0.0166
99.0,0.0166
100.0,0.0167
101.0,0.0169
102.0,0.0169
103.0,0.017
104.0,0.0171
105.0,0.0172
106.0,0.0173
107.0,0.0174
108.0,0.0175
109.0,0.0176
110.0,0.0178
111.0,0.0179
112.0,0.018
113.0,0.0181
114.0,0.0182
115.0,0.0182
116.0,0.0183
117.0,0.0183
118.0,0.0183
119.0,0.0184
120.0,0.0185
121.0,0.0186
122.0,0.0187
123.0,0.0187
124.0,0.0188
125.0,0.0189
126.0,0.0189
127.0,0.019
128.0,0.0191
129.0,0.0192
130.0,0.0194
131.0,0.0195
132.0,0.0195
133.0,0.0196
134.0,0.0197
135.0,0.0197
136.0,0.0197
137.0,0.0198
138.0,0.0199
139.0,0.0199
140.0,0.02
141.0,0.02
142.0,0.0201
143.0,0.0202
144.0,0.0202
145.0,0.0203
146.0,0.0203
147.0,0.0204
148.0,0.0205
149.0,0.0206
150.0,0.0207
151.0,0.0208
152.0,0.0208
153.0,0.0209
154.0,0.021
155.0,0.021
156.0,0.0211
157.0,0.0211
158.0,0.0213
159.0,0.0213
160.0,0.0214
161.0,0.0214
162.0,0.0216
163.0,0.0216
164.0,0.0217
165.0,0.0218
166.0,0.0219
167.0,0.0219
168.0,0.022
169.0,0.0221
170.0,0.0221
171.0,0.0222
172.0,0.0222
173.0,0.0223
174.0,0.0223
175.0,0.0224
176.0,0.0224
177.0,0.0225
178.0,0.0225
