iteration,cos_a
1.0,0.0055
2.0,0.0077
3.0,0.0083
4.0,0.0094
5.0,0.0101
6.0,0.0107
7.0,0.0116
8.0,0.0121
9.0,0.0124
10.0,0.0128
11.0,0.0131
12.0,0.0135
13.0,0.014
14.0,0.0143
15.0,0.0146
16.0,0.0147
17.0,0.0157
18.0,0.016
19.0,0.0167
20.0,0.0168
21.0,0.0172
22.0,0.0178
23.0,0.0181
24.0,0.0186
25.0,0.0187
26.0,0.0189
27.0,0.0193
28.0,0.0195
29.0,0.0201
30.0,0.0202
31.0,0.0203
32.0,0.0208
33.0,0.0213
34.0,0.0215
35.0,0.0217
36.0,0.0219
37.0,0.0223
38.0,0.0226
39.0,0.0229
40.0,0.0231
41.0,0.0236
42.0,0.0239
43.0,0.0241
44.0,0.0246
45.0,0.0249
46.0,0.0251
47.0,0.0261
48.0,0.0265
49.0,0.0267
50.0,0.027
51.0,0.0273
52.0,0.0275
53.0,0.0277
54.0,0.0277
55.0,0.0278
56.0,0.0282
57.0,0.0283
58.0,0.0283
59.0,0.0285
60.0,0.0287
61.0,0.0288
62.0,0.029
63.0,0.0293
64.0,0.0295
65.0,0.0295
66.0,0.0297
67.0,0.0299
68.0,0.0301
69.0,0.0302
70.0,0.0302
71.0,0.0306
72.0,0.0307
73.0,0.0313
74.0,0.0314
75.0,0.0319
76.0,0.0321
77.0,0.0324
78.0,0.0326
79.0,0.0328
80.0,0.0329
81.0,0.0332
82.0,0.0336
83.0,0.0338
84.0,0.0341
85.0,0.0345
86.0,0.0346
87.0,0.0348
88.0,0.0349
89.0,0.0351
90.0,0.0353
91.0,0.0356
92.0,0.0357
93.0,0.0358
94.0,0.036
95.0,0.0361
96.0,0.0363
97.0,0.0364
98.0,0.0366
99.0,0.0367
100.0,0.0373
101.0,0.0373
102.0,0.0374
103.0,0.0375
104.0,0.0378
105.0,0.0381
106.0,0.0381
107.0,0.0383
108.0,0.0385
109.0,0.0387
110.0,0.0391
111.0,0.0394
112.0,0.0396
113.0,0.0397
114.0,0.0399
115.0,0.0401
116.0,0.0403
117.0,0.0403
118.0,0.0405
119.0,0.0406
120.0,0.0409
121.0,0.041
122.0,0.0417
123.0,0.0422
124.0,0.0425
125.0,0.0425
126.0,0.0426
127.0,0.0428
128.0,0.0429
129.0,0.043
130.0,0.0431
131.0,0.0432
132.0,0.0433
133.0,0.0434
134.0,0.0436
135.0,0.0437
136.0,0.0438
137.0,0.044
138.0,0.0442
139.0,0.0443
140.0,0.0444
141.0,0.0445
142.0,0.0446
143.0,0.0447
144.0,0.0447
145.0,0.0448
146.0,0.045
147.0,0.0451
148.0,0.0452
149.0,0.0453
150.0,0.0454
151.0,0.0454
152.0,0.0457
153.0,0.0459
154.0,0.046
155.0,0.0462
156.0,0.0462
157.0,0.0463
158.0,0.0465
159.0,0.0466
160.0,0.0468
161.0,0.0469
162.0,0.0471
163.0,0.0472
164.0,0.0474
165.0,0.0477
166.0,0.0479
167.0,0.048
168.0,0.0481
169.0,0.0483
170.0,0.0485
171.0,0.0485
172.0,0.0486
173.0,0.0487
174.0,0.049
175.0,0.0491
176.0,0.0492
177.0,0.0494
178.0,0.0496
179.0,0.0496
180.0,0.0498
181.0,0.0499
182.0,0.05
183.0,0.0502
184.0,0.0503
185.0,0.0507
186.0,0.051
187.0,0.0511
188.0,0.0513
189.0,0.0513
190.0,0.0514
191.0,0.0515
192.0,0.0516
193.0,0.0517
194.0,0.0518
195.0,0.0519
196.0,0.052
197.0,0.0522
198.0,0.0523
199.0,0.0523
200.0,0.0524
201.0,0.0525
202.0,0.0526
203.0,0.0528
204.0,0.0529
205.0,0.0531
206.0,0.0531
207.0,0.0533
208.0,0.0533
209.0,0.0534
210.0,0.0535
211.0,0.0538
212.0,0.0539
213.0,0.054
214.0,0.0541
215.0,0.0542
216.0,0.0544
217.0,0.0545
218.0,0.0546
219.0,0.0546
220.0,0.0548
221.0,0.0549
222.0,0.0549
223.0,0.0551
224.0,0.0552
225.0,0.0554
226.0,0.0554
227.0,0.0555
228.0,0.0556
229.0,0.0558
230.0,0.0558
231.0,0.056
232.0,0.0561
233.0,0.0562
234.0,0.0563
235.0,0.0564
236.0,0.0565
237.0,0.0566
238.0,0.0567
239.0,0.0569
240.0,0.057
241.0,0.0571
242.0,0.0572
243.0,0.0573
244.0,0.0574
245.0,0.0575
246.0,0.0575
247.0,0.0576
248.0,0.0577
249.0,0.0578
250.0,0.0578
251.0,0.0579
252.0,0.058
253.0,0.0582
254.0,0.0583
255.0,0.0584
256.0,0.0586
257.0,0.0587
258.0,0.0588
259.0,0.0588
260.0,0.0589
261.0,0.059
262.0,0.0592
263.0,0.0592
264.0,0.0593
265.0,0.0594
266.0,0.0595
267.0,0.0596
268.0,0.0597
269.0,0.0599
270.0,0.06
271.0,0.06
272.0,0.0601
