iteration,cos_a
360.0,0.5034
361.0,0.5042
362.0,0.5047
363.0,0.5055
364.0,0.5056
365.0,0.5058
366.0,0.5069
367.0,0.5066
368.0,0.507
369.0,0.5078
370.0,0.508
371.0,0.5092
372.0,0.5092
373.0,0.5103
374.0,0.5105
375.0,0.5128
376.0,0.5129
377.0,0.5143
378.0,0.5148
379.0,0.515
380.0,0.5152
381.0,0.5161
382.0,0.5166
383.0,0.5173
384.0,0.5175
385.0,0.5181
386.0,0.5191
387.0,0.5194
388.0,0.5198
389.0,0.5199
390.0,0.5205
391.0,0.521
392.0,0.5216
393.0,0.5224
394.0,0.5237
395.0,0.5241
396.0,0.5239
397.0,0.524
398.0,0.5243
399.0,0.5245
400.0,0.5256
401.0,0.5265
402.0,0.5272
403.0,0.5276
404.0,0.528
405.0,0.5291
406.0,0.5296
407.0,0.531
408.0,0.5315
409.0,0.5317
410.0,0.5325
411.0,0.533
412.0,0.5334
413.0,0.534
414.0,0.5342
415.0,0.5349
416.0,0.5353
417.0,0.5361
418.0,0.5368
419.0,0.5375
420.0,0.5383
421.0,0.5393
422.0,0.5395
423.0,0.5402
424.0,0.5407
425.0,0.5419
426.0,0.5423
427.0,0.5427
428.0,0.543
429.0,0.5436
430.0,0.5439
431.0,0.5445
432.0,0.5449
433.0,0.5461
434.0,0.5463
435.0,0.5463
436.0,0.5456
437.0,0.5457
438.0,0.546
439.0,0.5464
440.0,0.547
441.0,0.5475
442.0,0.5481
443.0,0.5488
444.0,0.5495
445.0,0.5501
446.0,0.5505
447.0,0.5506
448.0,0.5508
449.0,0.5513
450.0,0.5517
451.0,0.5516
452.0,0.5525
453.0,0.5529
454.0,0.5533
455.0,0.5538
456.0,0.5546
457.0,0.5551
458.0,0.5553
459.0,0.5555
460.0,0.5564
461.0,0.5569
462.0,0.5568
463.0,0.5572
464.0,0.5574
465.0,0.5572
466.0,0.5575
467.0,0.5581
468.0,0.5583
469.0,0.5588
470.0,0.5588
471.0,0.5593
472.0,0.5595
473.0,0.5598
474.0,0.561
475.0,0.5617
476.0,0.5622
477.0,0.5624
478.0,0.5626
479.0,0.563
480.0,0.5631
481.0,0.563
482.0,0.5634
483.0,0.5639
484.0,0.5639
485.0,0.5639
486.0,0.5641
487.0,0.5642
488.0,0.5644
489.0,0.5653
490.0,0.5658
491.0,0.5661
492.0,0.567
493.0,0.5675
494.0,0.5676
495.0,0.5682
496.0,0.5685
497.0,0.5693
498.0,0.5696
499.0,0.5695
500.0,0.5699
501.0,0.57
502.0,0.57
503.0,0.5702
504.0,0.5705
505.0,0.5708
506.0,0.5713
507.0,0.5718
508.0,0.5719
509.0,0.572
510.0,0.5724
511.0,0.5724
512.0,0.5728
513.0,0.5732
514.0,0.5737
515.0,0.5739
516.0,0.5743
517.0,0.5744
518.0,0.5745
519.0,0.5749
520.0,0.5755
521.0,0.5763
522.0,0.5766
523.0,0.5769
524.0,0.5772
525.0,0.5778
526.0,0.5784
527.0,0.5788
528.0,0.5795
529.0,0.5803
530.0,0.581
531.0,0.5813
532.0,0.5812
533.0,0.5814
534.0,0.5816
535.0,0.5821
536.0,0.583
537.0,0.5835
538.0,0.5839
539.0,0.5843
540.0,0.5847
541.0,0.5848
542.0,0.5857
543.0,0.5863
544.0,0.5867
545.0,0.5869
546.0,0.5871
547.0,0.5872
548.0,0.5874
549.0,0.5878
550.0,0.5884
551.0,0.5885
552.0,0.5889
553.0,0.5893
554.0,0.5897
555.0,0.5899
556.0,0.5912
557.0,0.5916
558.0,0.5917
559.0,0.5918
560.0,0.5923
561.0,0.5925
562.0,0.5929
563.0,0.593
564.0,0.5927
565.0,0.5928
566.0,0.5929
567.0,0.5933
568.0,0.5938
569.0,0.5939
570.0,0.5943
571.0,0.5946
572.0,0.595
573.0,0.5951
574.0,0.5951
575.0,0.5955
576.0,0.5961
577.0,0.5963
578.0,0.5967
579.0,0.5973
580.0,0.5974
581.0,0.5974
582.0,0.5976
583.0,0.5977
584.0,0.598
585.0,0.5985
586.0,0.5986
587.0,0.5991
588.0,0.5994
589.0,0.5993
590.0,0.5997
591.0,0.6002
592.0,0.6008
593.0,0.6014
594.0,0.6016
595.0,0.602
596.0,0.6022
597.0,0.6028
598.0,0.6031
599.0,0.6034
600.0,0.6038
601.0,0.6043
602.0,0.6047
603.0,0.6056
604.0,0.6061
605.0,0.6064
606.0,0.607
607.0,0.6072
608.0,0.6071
609.0,0.6082
610.0,0.6084
611.0,0.6088
612.0,0.609
613.0,0.6092
614.0,0.6094
615.0,0.6095
616.0,0.61
617.0,0.6101
618.0,0.6102
619.0,0.6113
620.0,0.6113
621.0,0.6116
622.0,0.6118
623.0,0.612
624.0,0.6121
625.0,0.6126
626.0,0.6129
627.0,0.6135
628.0,0.6141
629.0,0.6148
630.0,0.6151
631.0,0.6153
632.0,0.6155
633.0,0.6154
634.0,0.6157
635.0,0.6159
636.0,0.6159
637.0,0.6164
638.0,0.6169
639.0,0.6171
640.0,0.6174
641.0,0.6179
642.0,0.6182
643.0,0.6183
644.0,0.6184
645.0,0.6186
646.0,0.6188
647.0,0.6194
648.0,0.6196
649.0,0.6203
650.0,0.6207
651.0,0.6215
652.0,0.6221
653.0,0.6223
654.0,0.6224
655.0,0.6227
656.0,0.6229
657.0,0.6231
658.0,0.6235
659.0,0.6238
660.0,0.6247
661.0,0.6248
662.0,0.6248
663.0,0.6255
664.0,0.626
665.0,0.626
666.0,0.6263
667.0,0.6269
668.0,0.6271
669.0,0.6277
670.0,0.6279
671.0,0.6281
672.0,0.6284
673.0,0.6289
674.0,0.6289
675.0,0.6287
676.0,0.6292
677.0,0.6296
678.0,0.6299
679.0,0.63
680.0,0.6303
681.0,0.6303
682.0,0.6305
683.0,0.6311
684.0,0.6313
685.0,0.6316
686.0,0.6316
687.0,0.6319
