iteration,cos_a
1.0,0.0149
2.0,0.0208
3.0,0.024
4.0,0.0276
5.0,0.0308
6.0,0.0343
7.0,0.0366
8.0,0.0409
9.0,0.0425
10.0,0.0459
11.0,0.0467
12.0,0.048
13.0,0.0517
14.0,0.0561
15.0,0.0573
16.0,0.0581
17.0,0.0612
18.0,0.063
19.0,0.0655
20.0,0.0663
21.0,0.0669
22.0,0.0683
23.0,0.0704
24.0,0.0713
25.0,0.0728
26.0,0.0754
27.0,0.0769
28.0,0.0773
29.0,0.0775
30.0,0.0779
31.0,0.0803
32.0,0.0813
33.0,0.0826
34.0,0.0831
35.0,0.0846
36.0,0.0859
37.0,0.0871
38.0,0.0891
39.0,0.09
40.0,0.0903
41.0,0.0904
42.0,0.0912
43.0,0.0917
44.0,0.0921
45.0,0.0925
46.0,0.0944
47.0,0.0954
48.0,0.0957
49.0,0.0966
50.0,0.0978
51.0,0.099
52.0,0.1001
53.0,0.1028
54.0,0.1039
55.0,0.1044
56.0,0.1051
57.0,0.1055
58.0,0.1071
59.0,0.1091
60.0,0.1101
61.0,0.1105
62.0,0.1119
63.0,0.1124
64.0,0.1134
65.0,0.1134
66.0,0.1146
67.0,0.1149
68.0,0.1158
69.0,0.1173
70.0,0.1188
71.0,0.1205
72.0,0.1208
73.0,0.1223
74.0,0.123
75.0,0.1237
76.0,0.1238
77.0,0.1242
78.0,0.1248
79.0,0.1265
80.0,0.1274
81.0,0.129
82.0,0.1299
83.0,0.1306
84.0,0.1317
85.0,0.1334
86.0,0.1339
87.0,0.1342
88.0,0.1347
89.0,0.136
90.0,0.1366
91.0,0.138
92.0,0.1386
93.0,0.139
94.0,0.1395
95.0,0.1398
96.0,0.1402
97.0,0.1409
98.0,0.1422
99.0,0.1425
100.0,0.1434
101.0,0.1437
102.0,0.1438
103.0,0.1452
104.0,0.1467
105.0,0.1473
106.0,0.1482
107.0,0.1487
108.0,0.149
109.0,0.1496
110.0,0.1501
111.0,0.1507
112.0,0.1518
113.0,0.1524
114.0,0.153
115.0,0.1543
116.0,0.1547
117.0,0.1553
118.0,0.1558
119.0,0.1559
120.0,0.1565
121.0,0.1569
122.0,0.1581
123.0,0.1587
124.0,0.1591
125.0,0.1598
126.0,0.1609
127.0,0.162
128.0,0.1626
129.0,0.163
130.0,0.1636
131.0,0.1637
132.0,0.1639
133.0,0.1642
134.0,0.1658
135.0,0.166
136.0,0.1662
137.0,0.1671
138.0,0.1676
139.0,0.1682
140.0,0.169
141.0,0.1697
142.0,0.17
